time;position;velocity;acceleration
0.0;0.15044884729963723;-0.0033723504765940182;-11.137186433425473
0.01;0.1501408729329099;-0.11296649402264645;-11.030577730129261
0.02;0.1477778265648404;-0.21757865967899434;-10.97241331161946
0.03;0.14496301183054483;-0.3307499346662042;-10.643693184869255
0.04;0.14143649598984007;-0.4436960734708851;-10.343759266385279
0.05;0.13697507264667086;-0.5324978225569376;-9.905262244057628
0.06;0.1311252657661383;-0.6321685033844071;-9.343552468861358
0.07;0.12362986640422279;-0.7204709839154136;-8.724097995848899
0.08;0.11599457409950197;-0.8020844160973898;-8.178762840980111
0.09;0.10742504850892554;-0.8855267183601097;-7.345167347090852
0.1;0.09810742346971699;-0.9549125757402878;-6.675464656105162
0.11;0.08866350876049518;-1.0191190155198344;-5.708212818324341
0.12;0.07849264211539894;-1.0777133907869987;-5.022453541338429
0.13;0.0677489062940579;-1.1148451340649221;-4.037659940561378
0.14;0.056133056002761056;-1.1482984442500526;-3.1558252108434353
0.15;0.044389088001347804;-1.1876226306857196;-2.29422459884478
0.16;0.032938151353728164;-1.1913140084460592;-1.3092578093375182
0.17;0.020228863709810318;-1.205105170073928;-0.35835010849683546
0.18;0.007584731599256258;-1.1974742805922696;0.42184955868482055
0.19;-0.004280028663898131;-1.1995069755286119;1.425982132192929
0.2;-0.015400760866065804;-1.1734672636235053;2.2017915408432067
0.21;-0.027052371643317162;-1.1511769608229643;2.9641490646243716
0.22;-0.03781366784813544;-1.1177696715627057;3.867096733301419
0.23;-0.04949434040397652;-1.0758668663776487;4.484001483838314
0.24;-0.05915772043295141;-1.0217558855684956;5.236897763336223
0.25;-0.07047520546957284;-0.9715630381544597;5.870636223052717
0.26;-0.0789098937616263;-0.9137128299084436;6.458867445809607
0.27;-0.08734400668137406;-0.8394327518087751;7.056528349874005
0.28;-0.09729242772241814;-0.7700836342853908;7.546011752397195
0.29;-0.10328304912626243;-0.6939967773504578;8.03986002089795
0.3;-0.10984559594900843;-0.6106213801583952;8.437213460624864
0.31;-0.11547523910532032;-0.5255301388922631;8.747105711642602
0.32;-0.11955686247535798;-0.42822693122055877;9.108195554373053
0.33;-0.12416973203969031;-0.3348060228986023;9.30121901433025
0.34;-0.12723238605801646;-0.24397823556398782;9.604323691282781
0.35000000000000003;-0.12912888176610415;-0.15176763843655738;9.581941279571843
0.36;-0.13038581032177884;-0.04787325980726779;9.597605602769574
0.37;-0.13091550299634694;0.04284887561864281;9.613751668633638
0.38;-0.12864678315475667;0.1289705131937402;9.560908454018067
0.39;-0.1276250483526225;0.2303026706529218;9.462136805654279
0.4;-0.1249808622003355;0.3344859454872741;9.211687520564054
0.41000000000000003;-0.12113003910419066;0.41308399028631526;8.81249404658319
0.42;-0.11650214999723658;0.50853561464135;8.3936842320607
0.43;-0.11049547703555275;0.5808868225854023;8.061337168842469
0.44;-0.10556541220853936;0.6599488448766606;7.378829584282129
0.45;-0.09836776612662305;0.7340992506577545;6.909241611400272
0.46;-0.09012384164471643;0.8096277896307961;6.173283403091118
0.47000000000000003;-0.08246086814231904;0.8625202456889836;5.42036361942378
0.48;-0.07357784441964903;0.9103235595694097;4.756871332318808
0.49;-0.06397590884394967;0.9523714634562419;4.013459000066096
0.5;-0.054936593872561446;0.9964391077685675;3.2493851448121736
0.51;-0.044260703363855874;1.0118763153121932;2.5860213612968486
0.52;-0.034583463408159;1.0376141641984733;1.8126487524727672
0.53;-0.02288579514340707;1.0458560155836585;0.9125207325786473
0.54;-0.013653330598101665;1.0508523986605698;0.1186397243672113
0.55;-0.0027564067763533504;1.0515156146331854;-0.6561234606664126
0.56;0.007894927820410041;1.0481855010093395;-1.4088075119954029
0.5700000000000001;0.017562098739771964;1.0251042078764874;-2.107407174120534
0.58;0.028455448934922484;1.000051733155929;-2.924157398246649
0.59;0.039204074408519196;0.9810186378222747;-3.5841906882258083
0.6;0.04710801931865582;0.9316200508483174;-4.191602005238431
0.61;0.05745879965452147;0.8859005653737766;-4.703443572106511
0.62;0.0659246491762813;0.8371745560238391;-5.372676907661709
0.63;0.07330452377244108;0.7861886923295381;-5.954862719368063
0.64;0.08144279140912258;0.7150732563085033;-6.435497156378873
0.65;0.0882760802061177;0.649669206273381;-6.811196618528902
0.66;0.09411891125052961;0.5848422490664564;-7.285095271450847
0.67;0.09949066797388438;0.5109343192818415;-7.477366766933786
0.68;0.10383227934290377;0.4332797292573247;-7.883405171908827
0.6900000000000001;0.1080814738760576;0.34372428204029454;-8.16014572542185
0.7000000000000001;0.1118247957291423;0.26194988757691373;-8.380625237235218
0.71;0.11464231092690103;0.1807402981724876;-8.431543923947585
0.72;0.11485555747365901;0.10064646146664966;-8.557518381920103
0.73;0.11574364646981493;0.009844194915147701;-8.511022933146375
0.74;0.11496185524476632;-0.0740315397534959;-8.498193931438191
0.75;0.11548316299137576;-0.15798259165280976;-8.46604703141837
0.76;0.11254009891092286;-0.23653387606587134;-8.237100303849074
0.77;0.1089538614745925;-0.3254324555307014;-8.037622480005965
0.78;0.10553718622044862;-0.40105973968367403;-7.720753928978719
0.79;0.10092312192039203;-0.47686317986762694;-7.353186867880573
0.8;0.09591857477849225;-0.5418306172381113;-6.887834035924499
0.81;0.08987426647990969;-0.6061306141142255;-6.415506740080506
0.8200000000000001;0.08348239986443569;-0.6767970369733671;-5.885860660105795
0.8300000000000001;0.07701332999253326;-0.7287789749304507;-5.373312777323383
0.84;0.06854417475864921;-0.7868483424598021;-4.726764497262569
0.85;0.060184216327151645;-0.822344348692708;-4.137475563170714
