"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
2,530;0,24;0,29
2,540;0,24;0,28
2,550;0,24;0,26
2,560;0,25;0,25
2,570;0,25;0,24
2,580;0,25;0,22
2,590;0,25;0,21
2,600;0,26;0,19
2,610;0,26;0,18
2,620;0,26;0,16
2,630;0,26;0,14
2,640;0,26;0,12
2,650;0,26;0,11
2,660;0,26;0,09
2,670;0,26;0,07
2,680;0,27;0,05
2,690;0,27;0,04
2,700;0,27;0,02
2,710;0,27;0,00
2,720;0,27;-0,02
2,730;0,27;-0,03
2,740;0,27;-0,05
2,750;0,26;-0,07
2,760;0,26;-0,09
2,770;0,26;-0,11
2,780;0,26;-0,12
2,790;0,26;-0,14
2,800;0,26;-0,15
2,810;0,26;-0,17
2,820;0,26;-0,19
2,830;0,25;-0,20
2,840;0,25;-0,22
2,850;0,25;-0,23
2,860;0,25;-0,24
2,870;0,24;-0,26
2,880;0,24;-0,27
2,890;0,24;-0,28
2,900;0,24;-0,29
2,910;0,23;-0,30
2,920;0,23;-0,31
2,930;0,23;-0,32
2,940;0,22;-0,33
2,950;0,22;-0,34
2,960;0,22;-0,34
2,970;0,21;-0,35
2,980;0,21;-0,35
2,990;0,21;-0,35
3,000;0,20;-0,35
3,010;0,20;-0,35
3,020;0,20;-0,32
3,030;0,19;-0,27
3,040;0,19;-0,26
3,050;0,19;-0,30
3,060;0,18;-0,35
3,070;0,18;-0,35
3,080;0,18;-0,34
3,090;0,17;-0,28
3,100;0,17;-0,23
3,110;0,17;-0,23
3,120;0,17;-0,28
3,130;0,16;-0,31
3,140;0,16;-0,30
3,150;0,16;-0,30
3,160;0,16;-0,29
3,170;0,15;-0,28
3,180;0,15;-0,28
3,190;0,15;-0,26
3,200;0,14;-0,29
3,210;0,14;-0,32
3,220;0,14;-0,32
3,230;0,13;-0,30
3,240;0,13;-0,28
3,250;0,13;-0,26
3,260;0,13;-0,20
3,270;0,13;-0,14
3,280;0,12;-0,12
3,290;0,12;-0,08
3,300;0,12;-0,05
3,310;0,12;-0,02
3,320;0,12;-6,09E-4
3,330;0,12;0,02
3,340;0,12;0,03
3,350;0,12;0,03
3,360;0,12;0,04
3,370;0,12;0,02
3,380;0,12;-0,02
3,390;0,12;-0,01
3,400;0,12;0,09
3,410;0,12;0,20
3,420;0,13;0,23
3,430;0,13;0,25
3,440;0,13;0,27
3,450;0,14;0,28
3,460;0,14;0,25
3,470;0,14;0,22
3,480;0,14;0,23
3,490;0,14;0,24
3,500;0,15;0,25
3,510;0,15;0,26
3,520;0,15;0,27
3,530;0,15;0,28
3,540;0,16;0,28
3,550;0,16;0,29
3,560;0,16;0,25
3,570;0,17;0,21
3,580;0,17;0,21
3,590;0,17;0,27
3,600;0,17;0,29
3,610;0,18;0,24
3,620;0,18;0,25
3,630;0,18;0,30
3,640;0,18;0,35
3,650;0,19;0,36
3,660;0,19;0,36
3,670;0,19;0,36
3,680;0,20;0,36
3,690;0,20;0,36
3,700;0,20;0,35
3,710;0,21;0,35
3,720;0,21;0,34
3,730;0,22;0,34
3,740;0,22;0,33
3,750;0,22;0,32
3,760;0,23;0,32
3,770;0,23;0,30
3,780;0,23;0,29
3,790;0,23;0,28
3,800;0,24;0,28
3,810;0,24;0,26
3,820;0,24;0,25
3,830;0,24;0,24
3,840;0,25;0,22
3,850;0,25;0,21
3,860;0,25;0,20
3,870;0,25;0,18
3,880;0,25;0,16
3,890;0,26;0,15
3,900;0,26;0,14
3,910;0,26;0,12
3,920;0,26;0,10
3,930;0,26;0,08
3,940;0,26;0,07
3,950;0,26;0,05
3,960;0,26;0,04
3,970;0,26;0,02
3,980;0,26;0,00
3,990;0,26;-0,02
4,000;0,26;-0,04
4,010;0,26;-0,05
4,020;0,26;-0,07
4,030;0,26;-0,09
4,040;0,26;-0,10
4,050;0,26;-0,12
4,060;0,26;-0,14
4,070;0,26;-0,15
4,080;0,25;-0,17
4,090;0,25;-0,18
4,100;0,25;-0,20
4,110;0,25;-0,21
4,120;0,25;-0,22
4,130;0,24;-0,23
4,140;0,24;-0,25
4,150;0,24;-0,26
4,160;0,24;-0,27
4,170;0,23;-0,28
4,180;0,23;-0,29
4,190;0,23;-0,30
4,200;0,23;-0,31
4,210;0,22;-0,32
4,220;0,22;-0,32
4,230;0,22;-0,33
4,240;0,21;-0,34
4,250;0,21;-0,33
4,260;0,21;-0,33
4,270;0,20;-0,33
4,280;0,20;-0,34
4,290;0,20;-0,31
4,300;0,19;-0,26
4,310;0,19;-0,25
4,320;0,19;-0,29
4,330;0,18;-0,34
4,340;0,18;-0,34
4,350;0,18;-0,34
4,360;0,17;-0,28
4,370;0,17;-0,22
4,380;0,17;-0,20
4,390;0,17;-0,25
4,400;0,17;-0,30
4,410;0,16;-0,30
4,420;0,16;-0,29
4,430;0,16;-0,28
4,440;0,15;-0,30
4,450;0,15;-0,33
4,460;0,15;-0,35
4,470;0,14;-0,36
4,480;0,14;-0,34
4,490;0,14;-0,30
4,500;0,13;-0,24
4,510;0,13;-0,18
4,520;0,13;-0,17
4,530;0,13;-0,15
4,540;0,13;-0,12
4,550;0,13;-0,10
4,560;0,12;-0,09
4,570;0,12;-0,08
4,580;0,12;-0,06
4,590;0,12;-0,04
4,600;0,12;-0,03
4,610;0,12;-0,01
4,620;0,12;0,01
4,630;0,12;0,03
4,640;0,12;0,05
4,650;0,12;0,07
4,660;0,12;0,08
4,670;0,13;0,09
4,680;0,13;0,10
4,690;0,13;0,14
4,700;0,13;0,22
4,710;0,13;0,28
4,720;0,13;0,32
4,730;0,14;0,32
4,740;0,14;0,29
4,750;0,14;0,26
4,760;0,15;0,24
4,770;0,15;0,24
4,780;0,15;0,25
4,790;0,15;0,26
4,800;0,16;0,27
4,810;0,16;0,28
4,820;0,16;0,23
4,830;0,16;0,19
4,840;0,16;0,20
4,850;0,17;0,26
4,860;0,17;0,32
4,870;0,17;0,32
4,880;0,18;0,33
4,890;0,18;0,33
4,900;0,18;0,29
4,910;0,19;0,25
4,920;0,19;0,25
4,930;0,19;0,30
4,940;0,19;0,35
4,950;0,20;0,35
4,960;0,20;0,35
4,970;0,21;0,34
4,980;0,21;0,32
4,990;0,21;0,31
5,000;0,21;0,31
5,010;0,22;0,31
5,020;0,22;0,31
5,030;0,22;0,30
5,040;0,23;0,30
5,050;0,23;0,28
5,060;0,23;0,27
5,070;0,24;0,26
5,080;0,24;0,26
5,090;0,24;0,25
5,100;0,24;0,23
5,110;0,25;0,22
5,120;0,25;0,20
5,130;0,25;0,19
5,140;0,25;0,18
5,150;0,25;0,16
5,160;0,25;0,15
5,170;0,26;0,13
5,180;0,26;0,12
5,190;0,26;0,10
5,200;0,26;0,08
5,210;0,26;0,07
5,220;0,26;0,05
5,230;0,26;0,04
5,240;0,26;0,02
5,250;0,26;0,00
5,260;0,26;-0,02
5,270;0,26;-0,03
5,280;0,26;-0,05
5,290;0,26;-0,06
5,300;0,26;-0,08
5,310;0,26;-0,10
5,320;0,26;-0,12
5,330;0,26;-0,13
5,340;0,25;-0,15
5,350;0,25;-0,16
5,360;0,25;-0,17
5,370;0,25;-0,19
5,380;0,25;-0,20
5,390;0,25;-0,22
5,400;0,24;-0,23
5,410;0,24;-0,24
5,420;0,24;-0,25
5,430;0,24;-0,26
5,440;0,23;-0,27
5,450;0,23;-0,28
5,460;0,23;-0,29
5,470;0,22;-0,30
5,480;0,22;-0,30
5,490;0,22;-0,30
5,500;0,22;-0,30
5,510;0,21;-0,32
5,520;0,21;-0,30
5,530;0,21;-0,25
5,540;0,20;-0,24
5,550;0,20;-0,27
5,560;0,20;-0,32
5,570;0,20;-0,33
5,580;0,19;-0,34
5,590;0,19;-0,34
5,600;0,19;-0,34
5,610;0,18;-0,34
5,620;0,18;-0,28
5,630;0,18;-0,21
5,640;0,18;-0,20
5,650;0,17;-0,25
5,660;0,17;-0,30
5,670;0,17;-0,29
5,680;0,16;-0,29
5,690;0,16;-0,28
5,700;0,16;-0,28
5,710;0,16;-0,31
5,720;0,15;-0,34
5,730;0,15;-0,33
5,740;0,15;-0,31
5,750;0,14;-0,30
5,760;0,14;-0,29
5,770;0,14;-0,24
5,780;0,13;-0,18
5,790;0,13;-0,16
5,800;0,13;-0,14
5,810;0,13;-0,13
5,820;0,13;-0,11
5,830;0,13;-0,10
5,840;0,13;-0,08
5,850;0,13;-0,06
5,860;0,13;-0,05
5,870;0,13;-0,03
5,880;0,12;-0,02
5,890;0,12;0,00
5,900;0,12;0,03
5,910;0,13;0,05
5,920;0,13;0,07
5,930;0,13;0,08
5,940;0,13;0,09
5,950;0,13;0,11
5,960;0,13;0,12
5,970;0,13;0,14
5,980;0,13;0,16
5,990;0,13;0,21
6,000;0,14;0,27
6,010;0,14;0,30
6,020;0,14;0,32
6,030;0,15;0,33
6,040;0,15;0,33
6,050;0,15;0,29
6,060;0,15;0,26
6,070;0,16;0,27
6,080;0,16;0,27
6,090;0,16;0,28
6,100;0,17;0,28
6,110;0,17;0,27
6,120;0,17;0,22
6,130;0,17;0,19
6,140;0,17;0,18
6,150;0,18;0,19
6,160;0,18;0,22
6,170;0,18;0,26
6,180;0,18;0,32
6,190;0,19;0,33
6,200;0,19;0,33
6,210;0,19;0,33
6,220;0,20;0,33
6,230;0,20;0,33
6,240;0,20;0,33
6,250;0,21;0,32
6,260;0,21;0,32
6,270;0,21;0,31
6,280;0,22;0,31
6,290;0,22;0,30
6,300;0,22;0,29
6,310;0,23;0,28
6,320;0,23;0,27
6,330;0,23;0,26
6,340;0,23;0,25
6,350;0,24;0,24
6,360;0,24;0,23
6,370;0,24;0,22
6,380;0,24;0,21
6,390;0,24;0,19
6,400;0,25;0,18
6,410;0,25;0,17
6,420;0,25;0,16
6,430;0,25;0,14
6,440;0,25;0,13
6,450;0,25;0,11
6,460;0,26;0,10
6,470;0,26;0,08
6,480;0,26;0,06
6,490;0,26;0,05
6,500;0,26;0,03
6,510;0,26;0,02
6,520;0,26;0,00
6,530;0,26;-0,01
6,540;0,26;-0,03
6,550;0,26;-0,05
6,560;0,26;-0,06
6,570;0,26;-0,08
6,580;0,26;-0,10
6,590;0,25;-0,11
6,600;0,25;-0,12
6,610;0,25;-0,14
6,620;0,25;-0,15
6,630;0,25;-0,17
6,640;0,25;-0,18
6,650;0,25;-0,19
6,660;0,24;-0,21
6,670;0,24;-0,22
6,680;0,24;-0,23
6,690;0,24;-0,24
6,700;0,23;-0,25
6,710;0,23;-0,26
6,720;0,23;-0,27
6,730;0,23;-0,28
6,740;0,22;-0,28
6,750;0,22;-0,29
6,760;0,22;-0,30
6,770;0,21;-0,31
6,780;0,21;-0,31
6,790;0,21;-0,32
6,800;0,20;-0,32
6,810;0,20;-0,32
6,820;0,20;-0,32
6,830;0,20;-0,32
6,840;0,19;-0,33
6,850;0,19;-0,32
6,860;0,19;-0,27
6,870;0,18;-0,22
6,880;0,18;-0,22
6,890;0,18;-0,21
6,900;0,18;-0,19
6,910;0,18;-0,18
6,920;0,17;-0,23
6,930;0,17;-0,28
6,940;0,17;-0,28
6,950;0,16;-0,27
6,960;0,16;-0,27
6,970;0,16;-0,26
6,980;0,16;-0,28
6,990;0,15;-0,32
7,000;0,15;-0,33
7,010;0,15;-0,34
7,020;0,14;-0,32
7,030;0,14;-0,28
7,040;0,14;-0,23
7,050;0,14;-0,17
7,060;0,13;-0,15
7,070;0,13;-0,14
7,080;0,13;-0,12
7,090;0,13;-0,10
7,100;0,13;-0,09
7,110;0,13;-0,07
7,120;0,13;-0,06
7,130;0,13;-0,05
7,140;0,13;-0,05
7,150;0,13;-0,06
7,160;0,13;-0,05
7,170;0,13;-0,01
7,180;0,13;0,07
7,190;0,13;0,12
7,200;0,13;0,14
7,210;0,13;0,13
7,220;0,13;0,11
7,230;0,13;0,13
7,240;0,13;0,14
7,250;0,13;0,15
7,260;0,14;0,20
7,270;0,14;0,26
7,280;0,14;0,28
7,290;0,14;0,27
7,300;0,15;0,28
7,310;0,15;0,32
7,320;0,15;0,33
7,330;0,16;0,29
7,340;0,16;0,26
7,350;0,16;0,27
7,360;0,16;0,27
7,370;0,17;0,28
7,380;0,17;0,29
7,390;0,17;0,23
7,400;0,18;0,18
7,410;0,18;0,19
7,420;0,18;0,25
7,430;0,18;0,32
7,440;0,19;0,32
7,450;0,19;0,32
7,460;0,19;0,31
7,470;0,19;0,31
7,480;0,20;0,27
7,490;0,20;0,22
7,500;0,20;0,22
7,510;0,20;0,26
7,520;0,21;0,31
7,530;0,21;0,30
7,540;0,21;0,28
7,550;0,22;0,28
7,560;0,22;0,28
7,570;0,22;0,28
7,580;0,22;0,27
7,590;0,23;0,27
7,600;0,23;0,26
7,610;0,23;0,25
7,620;0,23;0,24
7,630;0,24;0,22
7,640;0,24;0,21
7,650;0,24;0,20
7,660;0,24;0,19
7,670;0,25;0,18
7,680;0,25;0,16
7,690;0,25;0,15
7,700;0,25;0,14
7,710;0,25;0,12
7,720;0,25;0,10
7,730;0,25;0,09
7,740;0,25;0,08
7,750;0,25;0,06
7,760;0,26;0,05
7,770;0,26;0,03
7,780;0,26;0,02
7,790;0,26;0,00
7,800;0,26;-0,02
7,810;0,26;-0,03
7,820;0,26;-0,05
7,830;0,25;-0,06
7,840;0,25;-0,08
7,850;0,25;-0,09
7,860;0,25;-0,11
7,870;0,25;-0,13
7,880;0,25;-0,14
7,890;0,25;-0,15
7,900;0,25;-0,16
7,910;0,25;-0,18
7,920;0,24;-0,19
7,930;0,24;-0,20
7,940;0,24;-0,21
7,950;0,24;-0,23
7,960;0,23;-0,24
7,970;0,23;-0,24
7,980;0,23;-0,25
7,990;0,23;-0,26
8,000;0,22;-0,27
8,010;0,22;-0,28
8,020;0,22;-0,28
8,030;0,22;-0,29
8,040;0,21;-0,30
8,050;0,21;-0,30
8,060;0,21;-0,30
8,070;0,20;-0,31
8,080;0,20;-0,31
8,090;0,20;-0,31
8,100;0,19;-0,32
8,110;0,19;-0,32
8,120;0,19;-0,31
8,130;0,19;-0,31
8,140;0,18;-0,28
8,150;0,18;-0,23
8,160;0,18;-0,20
8,170;0,18;-0,22
8,180;0,17;-0,27
8,190;0,17;-0,24
8,200;0,17;-0,18
8,210;0,17;-0,16
8,220;0,17;-0,20
8,230;0,16;-0,24
8,240;0,16;-0,24
8,250;0,16;-0,23
8,260;0,16;-0,23
8,270;0,15;-0,22
8,280;0,15;-0,21
8,290;0,15;-0,20
8,300;0,15;-0,22
8,310;0,15;-0,25
8,320;0,14;-0,30
8,330;0,14;-0,30
8,340;0,14;-0,25
8,350;0,13;-0,18
8,360;0,13;-0,11
8,370;0,13;-0,09
8,380;0,13;-0,07
8,390;0,13;-0,06
8,400;0,13;-0,04
8,410;0,13;-0,02
8,420;0,13;-0,01
8,430;0,13;0,00
8,440;0,13;0,02
8,450;0,13;0,04
8,460;0,13;0,06
8,470;0,13;0,07
8,480;0,13;0,09
8,490;0,13;0,10
8,500;0,13;0,12
8,510;0,14;0,13
8,520;0,14;0,18
8,530;0,14;0,25
8,540;0,14;0,28
8,550;0,14;0,30
8,560;0,15;0,31
8,570;0,15;0,31
8,580;0,15;0,27
8,590;0,16;0,24
8,600;0,16;0,24
8,610;0,16;0,24
8,620;0,16;0,25
8,630;0,17;0,26
8,640;0,17;0,21
8,650;0,17;0,17
8,660;0,17;0,17
8,670;0,17;0,23
8,680;0,18;0,29
8,690;0,18;0,29
8,700;0,18;0,30
8,710;0,19;0,30
8,720;0,19;0,25
8,730;0,19;0,21
8,740;0,19;0,21
8,750;0,19;0,26
8,760;0,20;0,30
8,770;0,20;0,29
8,780;0,20;0,29
8,790;0,21;0,29
8,800;0,21;0,29
8,810;0,21;0,29
8,820;0,22;0,28
8,830;0,22;0,28
8,840;0,22;0,27
8,850;0,22;0,27
8,860;0,23;0,26
8,870;0,23;0,25
8,880;0,23;0,24
8,890;0,23;0,22
8,900;0,24;0,22
8,910;0,24;0,21
8,920;0,24;0,20
8,930;0,24;0,18
8,940;0,24;0,17
8,950;0,24;0,16
8,960;0,25;0,14
8,970;0,25;0,13
8,980;0,25;0,12
8,990;0,25;0,10
9,000;0,25;0,09
9,010;0,25;0,08
9,020;0,25;0,06
9,030;0,25;0,04
9,040;0,25;0,03
9,050;0,25;0,01
9,060;0,25;0,00
9,070;0,25;-0,02
9,080;0,25;-0,03
9,090;0,25;-0,05
9,100;0,25;-0,06
9,110;0,25;-0,07
9,120;0,25;-0,08
9,130;0,25;-0,10
9,140;0,25;-0,12
9,150;0,25;-0,13
9,160;0,25;-0,15
9,170;0,24;-0,16
9,180;0,24;-0,17
9,190;0,24;-0,18
9,200;0,24;-0,19
9,210;0,24;-0,20
9,220;0,24;-0,21
9,230;0,23;-0,22
9,240;0,23;-0,23
9,250;0,23;-0,24
9,260;0,23;-0,25
9,270;0,22;-0,26
9,280;0,22;-0,27
9,290;0,22;-0,27
9,300;0,22;-0,28
9,310;0,21;-0,29
9,320;0,21;-0,29
9,330;0,21;-0,29
9,340;0,20;-0,29
9,350;0,20;-0,30
9,360;0,20;-0,30
9,370;0,19;-0,30
9,380;0,19;-0,30
9,390;0,19;-0,30
9,400;0,19;-0,29
9,410;0,18;-0,24
9,420;0,18;-0,20
9,430;0,18;-0,19
9,440;0,18;-0,24
9,450;0,17;-0,28
9,460;0,17;-0,28
9,470;0,17;-0,22
9,480;0,17;-0,15
9,490;0,17;-0,14
9,500;0,16;-0,18
9,510;0,16;-0,23
9,520;0,16;-0,22
9,530;0,16;-0,22
9,540;0,16;-0,21
9,550;0,15;-0,20
9,560;0,15;-0,18
9,570;0,15;-0,17
9,580;0,15;-0,16
9,590;0,15;-0,16
9,600;0,15;-0,14
9,610;0,14;-0,13
9,620;0,14;-0,11
9,630;0,14;-0,10
9,640;0,14;-0,09
9,650;0,14;-0,11
9,660;0,14;-0,12
9,670;0,14;-0,11
9,680;0,14;-0,06
9,690;0,14;-0,02
9,700;0,14;0,01
9,710;0,14;0,02
9,720;0,14;0,05
9,730;0,14;0,08
9,740;0,14;0,13
9,750;0,14;0,15
9,760;0,14;0,15
9,770;0,14;0,13
9,780;0,14;0,13
9,790;0,15;0,15
9,800;0,15;0,16
9,810;0,15;0,17
9,820;0,15;0,18
9,830;0,15;0,19
9,840;0,15;0,20
9,850;0,16;0,21
9,860;0,16;0,22
9,870;0,16;0,23
9,880;0,16;0,24
9,890;0,17;0,24
9,900;0,17;0,25
9,910;0,17;0,25
9,920;0,17;0,21
9,930;0,18;0,16
9,940;0,17;0,17
9,950;0,18;0,23
9,960;0,18;0,28
9,970;0,18;0,29
9,980;0,19;0,29
9,990;0,19;0,25
10,000;0,19;0,20
10,010;0,19;0,20
10,020;0,19;0,24
10,030;0,20;0,29
10,040;0,20;0,29
10,050;0,20;0,29
10,060;0,21;0,28
10,070;0,21;0,28
10,080;0,21;0,28
10,090;0,21;0,27
10,100;0,22;0,27
10,110;0,22;0,26
10,120;0,22;0,25
10,130;0,22;0,24
10,140;0,23;0,24
10,150;0,23;0,23
10,160;0,23;0,22
10,170;0,23;0,21
10,180;0,24;0,20
10,190;0,24;0,18
10,200;0,24;0,17
10,210;0,24;0,16
10,220;0,24;0,15
10,230;0,24;0,14
10,240;0,25;0,12
10,250;0,25;0,11
10,260;0,25;0,10
10,270;0,25;0,08
10,280;0,25;0,07
10,290;0,25;0,05
10,300;0,25;0,04
10,310;0,25;0,03
10,320;0,25;0,02
10,330;0,25;0,00
10,340;0,25;-0,02
10,350;0,25;-0,03
10,360;0,25;-0,05
10,370;0,25;-0,06
10,380;0,25;-0,07
10,390;0,25;-0,09
10,400;0,25;-0,10
10,410;0,25;-0,12
10,420;0,25;-0,13
10,430;0,24;-0,14
10,440;0,24;-0,15
10,450;0,24;-0,17
10,460;0,24;-0,17
10,470;0,24;-0,18
10,480;0,24;-0,20
10,490;0,23;-0,21
10,500;0,23;-0,22
10,510;0,23;-0,23
10,520;0,23;-0,24
10,530;0,22;-0,24
10,540;0,22;-0,25
10,550;0,22;-0,26
10,560;0,22;-0,27
10,570;0,21;-0,27
10,580;0,21;-0,27
10,590;0,21;-0,28
10,600;0,21;-0,28
10,610;0,20;-0,28
10,620;0,20;-0,28
10,630;0,20;-0,29
10,640;0,19;-0,25
10,650;0,19;-0,20
10,660;0,19;-0,19
10,670;0,19;-0,24
10,680;0,19;-0,28
10,690;0,18;-0,28
10,700;0,18;-0,28
10,710;0,18;-0,22
10,720;0,17;-0,16
10,730;0,17;-0,15
10,740;0,17;-0,19
10,750;0,17;-0,24
10,760;0,17;-0,24
10,770;0,17;-0,24
10,780;0,16;-0,23
10,790;0,16;-0,22
10,800;0,16;-0,21
10,810;0,16;-0,20
10,820;0,15;-0,20
10,830;0,15;-0,18
10,840;0,15;-0,17
10,850;0,15;-0,16
10,860;0,15;-0,14
10,870;0,15;-0,13
10,880;0,15;-0,12
10,890;0,14;-0,10
10,900;0,14;-0,09
10,910;0,14;-0,08
10,920;0,14;-0,07
10,930;0,14;-0,05
10,940;0,14;-0,03
10,950;0,14;-0,01
10,960;0,14;-5,84E-4
10,970;0,14;0,01
10,980;0,14;0,03
10,990;0,14;0,04
11,000;0,14;0,06
11,010;0,14;0,07
11,020;0,14;0,09
11,030;0,14;0,10
11,040;0,14;0,11
11,050;0,15;0,12
11,060;0,15;0,14
11,070;0,15;0,15
11,080;0,15;0,16
11,090;0,15;0,17
11,100;0,15;0,18
11,110;0,16;0,19
