"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
1,790;0,08;0,21;-4,55
1,800;0,08;0,16;-4,80
1,810;0,09;0,11;-5,01
1,820;0,09;0,06;-5,02
1,830;0,09;0,01;-4,97
1,840;0,09;-0,04;-4,98
1,850;0,09;-0,09;-4,95
1,860;0,09;-0,14;-4,76
1,870;0,08;-0,18;-4,51
1,880;0,08;-0,23;-4,37
1,890;0,08;-0,27;-4,27
1,900;0,08;-0,31;-4,18
1,910;0,07;-0,35;-4,05
1,920;0,07;-0,39;-3,86
1,930;0,06;-0,43;-3,62
1,940;0,06;-0,47;-3,37
1,950;0,06;-0,50;-3,22
1,960;0,05;-0,53;-3,14
1,970;0,04;-0,56;-2,96
1,980;0,04;-0,59;-2,63
1,990;0,03;-0,62;-2,24
2,000;0,03;-0,64;-1,90
2,010;0,02;-0,65;-1,62
2,020;0,01;-0,67;-1,28
2,030;0,01;-0,68;-0,90
2,040;-1,05E-4;-0,69;-0,51
2,050;-0,01;-0,69;-0,21
2,060;-0,01;-0,69;-0,02
2,070;-0,02;-0,69;0,21
2,080;-0,03;-0,69;0,59
2,090;-0,03;-0,68;1,03
2,100;-0,04;-0,66;1,37
2,110;-0,05;-0,65;1,66
2,120;-0,05;-0,63;1,95
2,130;-0,06;-0,61;2,24
2,140;-0,07;-0,59;2,48
2,150;-0,07;-0,56;2,77
2,160;-0,08;-0,53;3,06
2,170;-0,08;-0,50;3,29
2,180;-0,09;-0,47;3,65
2,190;-0,09;-0,43;3,63
2,200;-0,10;-0,38;2,93
2,210;-0,10;-0,37;2,77
2,220;-0,10;-0,36;4,66
2,230;-0,11;-0,29;7,11
2,240;-0,11;-0,18;6,67
2,250;-0,11;-0,12;3,67
2,260;-0,11;-0,13;2,13
2,270;-0,11;-0,12;4,35
2,280;-0,11;-0,05;7,18
2,290;-0,11;0,06;7,03
2,300;-0,11;0,12;4,96
2,310;-0,11;0,14;4,06
2,320;-0,11;0,18;4,90
2,330;-0,11;0,25;5,18
2,340;-0,10;0,30;3,87
2,350;-0,10;0,32;2,77
2,360;-0,10;0,34;3,44
2,370;-0,09;0,38;4,95
2,380;-0,09;0,45;5,96
2,390;-0,09;0,51;5,12
2,400;-0,08;0,57;3,18
2,410;-0,08;0,57;1,64
2,420;-0,07;0,58;1,11
2,430;-0,06;0,59;1,58
2,440;-0,06;0,61;2,08
2,450;-0,05;0,63;2,27
2,460;-0,05;0,66;1,87
2,470;-0,04;0,67;1,04
2,480;-0,03;0,68;0,44
2,490;-0,03;0,68;0,25
2,500;-0,02;0,68;0,11
2,510;-0,01;0,68;-0,07
2,520;0,00;0,68;-0,35
2,530;0,00;0,68;-0,73
2,540;0,01;0,67;-1,11
2,550;0,02;0,65;-1,45
2,560;0,02;0,64;-1,73
2,570;0,03;0,62;-2,06
2,580;0,03;0,60;-2,40
2,590;0,04;0,57;-2,69
2,600;0,05;0,54;-2,93
2,610;0,05;0,51;-3,12
2,620;0,06;0,48;-3,31
2,630;0,06;0,45;-3,54
2,640;0,07;0,41;-3,83
2,650;0,07;0,37;-4,08
2,660;0,07;0,33;-4,24
2,670;0,08;0,29;-4,28
2,680;0,08;0,24;-4,37
2,690;0,08;0,20;-4,56
2,700;0,08;0,15;-4,72
2,710;0,08;0,10;-4,73
2,720;0,08;0,06;-4,67
2,730;0,09;0,01;-4,72
2,740;0,09;-0,04;-4,79
2,750;0,08;-0,09;-4,74
