"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
1,740;-0,01;0,02;-0,36
1,750;-0,01;0,02;-0,61
1,760;-0,01;0,01;-0,74
1,770;-0,01;0,00;-0,51
1,780;-0,01;0,00;-0,14
1,790;-0,01;2,42E-4;-0,15
1,800;-0,01;0,00;-0,60
1,810;-0,01;-0,01;-0,88
1,820;-0,01;-0,03;-0,66
1,830;-0,01;-0,03;-0,16
1,840;-0,01;-0,03;0,11
1,850;-0,01;-0,02;-0,03
1,860;-0,01;-0,03;-0,28
1,870;-0,01;-0,03;-0,38
1,880;-0,01;-0,03;-0,38
1,890;-0,01;-0,04;-0,43
1,900;-0,01;-0,04;-0,49
1,910;-0,01;-0,05;-0,37
1,920;-0,01;-0,05;0,01
1,930;-0,01;-0,05;0,46
1,940;-0,01;-0,04;0,68
1,950;-0,01;-0,03;0,51
1,960;-0,01;-0,03;0,12
1,970;-0,01;-0,03;-0,18
1,980;-0,01;-0,03;-0,29
1,990;-0,01;-0,04;-0,22
2,000;-0,01;-0,04;0,14
2,010;-0,02;-0,04;0,74
2,020;-0,02;-0,02;1,12
2,030;-0,02;-0,01;0,87
2,040;-0,02;0,00;0,17
2,050;-0,02;-0,01;-0,17
2,060;-0,02;-0,02;0,16
2,070;-0,02;-0,01;0,63
2,080;-0,02;0,01;0,55
2,090;-0,02;0,01;0,18
2,100;-0,02;0,00;0,26
2,110;-0,02;0,01;0,58
2,120;-0,02;0,02;0,51
2,130;-0,02;0,02;0,10
2,140;-0,01;0,02;-0,01
2,150;-0,02;0,02;0,11
2,160;-0,01;0,03;-0,04
2,170;-0,01;0,02;-0,20
2,180;-0,01;0,01;-0,06
2,190;-0,01;0,02;0,15
2,200;-0,01;0,02;0,10
2,210;-0,01;0,02;0,05
2,220;-0,01;0,02;0,02
2,230;-0,01;0,03;-0,27
2,240;-0,01;0,02;-0,55
2,250;-0,01;0,01;-0,32
2,260;-0,01;0,01;0,11
2,270;-0,01;0,02;-0,06
2,280;-0,01;0,01;-0,54
2,290;-0,01;0,00;-0,43
2,300;-0,01;0,00;0,19
2,310;-0,01;0,01;0,28
2,320;-0,01;0,01;-0,26
2,330;-0,01;0,00;-0,60
2,340;-0,01;-0,01;-0,27
2,350;-0,01;-0,01;0,16
2,360;-0,01;2,38E-4;-0,02
2,370;-0,01;0,00;-0,39
2,380;-0,01;-0,01;-0,37
2,390;-0,01;-0,01;0,07
2,400;-0,01;-0,01;0,40
2,410;-0,01;0,00;0,18
2,420;-0,01;0,00;-0,23
2,430;-0,01;-0,01;-0,36
2,440;-0,01;-0,01;-0,08
2,450;-0,01;-0,01;0,33
2,460;-0,01;-0,01;0,40
2,470;-0,01;2,38E-4;0,20
2,480;-0,01;0,00;0,08
2,490;-0,01;0,00;0,23
2,500;-0,01;0,00;0,39
2,510;-0,01;0,01;0,29
2,520;-0,01;0,01;0,18
2,530;-0,01;0,01;0,28
2,540;-0,01;0,01;0,39
2,550;-0,01;0,02;0,29
2,560;-0,01;0,02;0,19
2,570;-0,01;0,02;0,23
2,580;-0,01;0,03;0,29
2,590;-0,01;0,03;0,20
2,600;-0,01;0,03;0,09
2,610;-0,01;0,03;0,14
2,620;-0,01;0,03;0,16
2,630;-0,01;0,03;0,02
2,640;-0,01;0,03;-0,18
2,650;-0,01;0,03;-0,29
2,660;-0,01;0,03;-0,29
2,670;-0,01;0,02;-0,29
2,680;-0,01;0,02;-0,29
2,690;-0,01;0,02;-0,29
2,700;-0,01;0,01;-0,29
2,710;-0,01;0,01;-0,29
2,720;-0,01;0,01;-0,28
2,730;-0,01;0,01;-0,33
2,740;-0,01;0,00;-0,38
2,750;-0,01;0,00;-0,39
2,760;-0,01;-0,01;-0,33
2,770;-0,01;-0,01;-0,32
2,780;-0,01;-0,01;-0,47
2,790;-0,01;-0,02;-0,58
2,800;-0,01;-0,03;-0,50
2,810;-0,01;-0,03;-0,25
2,820;-0,01;-0,03;-0,09
2,830;-0,01;-0,03;-0,14
2,840;-0,01;-0,03;-0,23
2,850;-0,01;-0,03;-0,33
2,860;-0,01;-0,04;-0,43
2,870;-0,01;-0,04;-0,45
2,880;-0,01;-0,05;-0,22
2,890;-0,01;-0,05;0,18
2,900;-0,01;-0,04;0,39
2,910;-0,01;-0,04;0,26
2,920;-0,01;-0,04;0,00
2,930;-0,01;-0,04;-0,06
2,940;-0,01;-0,04;0,05
2,950;-0,01;-0,04;0,05
2,960;-0,02;-0,04;-0,02
2,970;-0,02;-0,04;0,16
2,980;-0,02;-0,04;0,60
2,990;-0,02;-0,03;0,92
3,000;-0,02;-0,01;0,80
3,010;-0,02;-0,01;0,35
3,020;-0,02;-0,01;0,08
3,030;-0,02;-0,01;0,21
3,040;-0,02;-0,01;0,57
3,050;-0,02;0,00;0,69
3,060;-0,02;0,01;0,44
3,070;-0,02;0,01;0,28
3,080;-0,02;0,01;0,32
3,090;-0,02;0,02;0,47
3,100;-0,02;0,02;0,53
3,110;-0,02;0,03;0,49
3,120;-0,02;0,03;0,40
3,130;-0,02;0,04;0,16
3,140;-0,01;0,04;-0,04
3,150;-0,01;0,03;-0,10
3,160;-0,01;0,03;-0,05
3,170;-0,01;0,03;1,73E-14
3,180;-0,01;0,03;-3,02E-14
3,190;-0,01;0,03;-2,50E-14
3,200;-0,01;0,03;0,01
3,210;-0,01;0,03;-0,08
3,220;-0,01;0,03;-0,24
3,230;-0,01;0,03;-0,25
3,240;-0,01;0,03;-0,14
3,250;-0,01;0,03;-0,13
3,260;-0,01;0,03;-0,28
3,270;-0,01;0,02;-0,33
3,280;-0,01;0,02;-0,32
3,290;-0,01;0,02;-0,47
3,300;-0,01;0,01;-0,59
3,310;-0,01;0,00;-0,41
3,320;-0,01;-2,41E-4;-0,10
3,330;-0,01;0,00;-0,08
3,340;-0,01;4,81E-4;-0,24
3,350;-0,01;-0,01;-0,25
3,360;-0,01;-0,01;-0,10
3,370;-0,01;-0,01;-0,04
3,380;-0,01;-0,01;-0,18
3,390;-0,01;-0,01;-0,33
3,400;-0,01;-0,01;-0,35
3,410;-0,01;-0,02;-0,16
3,420;-0,01;-0,02;0,05
3,430;-0,01;-0,01;0,06
3,440;-0,01;-0,01;-0,09
3,450;-0,01;-0,02;-0,20
3,460;-0,01;-0,02;-0,08
3,470;-0,01;-0,02;0,27
3,480;-0,01;-0,02;0,54
3,490;-0,01;-0,01;0,41
3,500;-0,01;0,00;0,05
3,510;-0,01;-0,01;-0,03
3,520;-0,01;-0,01;0,32
3,530;-0,01;-7,17E-4;0,50
3,540;-0,01;0,01;0,21
3,550;-0,01;0,00;-0,02
3,560;-0,01;-7,16E-4;0,22
3,570;-0,01;0,01;0,45
3,580;-0,01;0,02;0,16
3,590;-0,01;0,01;-0,11
3,600;-0,01;0,01;0,08
3,610;-0,01;0,01;0,30
3,620;-0,01;0,02;0,11
3,630;-0,01;0,01;-0,10
3,640;-0,01;0,01;5,29E-5
3,650;-0,01;0,02;0,02
3,660;-0,01;0,02;-0,28
3,670;-0,01;0,01;-0,41
3,680;-0,01;0,00;-0,11
3,690;-0,01;0,01;0,07
3,700;-0,01;0,01;-0,21
3,710;-0,01;0,00;-0,54
3,720;-0,01;-0,01;-0,37
3,730;-0,01;-0,01;0,06
3,740;-0,01;-4,78E-7;0,00
3,750;-0,01;0,00;-0,55
3,760;-0,01;-0,01;-0,85
3,770;-0,01;-0,03;-0,43
3,780;-0,01;-0,02;0,23
3,790;-0,01;-0,01;0,33
3,800;-0,01;-0,01;-0,16
3,810;-0,01;-0,02;-0,61
3,820;-0,01;-0,03;-0,74
3,830;-0,01;-0,03;-0,51
3,840;-0,01;-0,04;-0,12
3,850;-0,01;-0,04;0,23
3,860;-0,01;-0,03;0,35
3,870;-0,01;-0,03;0,20
3,880;-0,01;-0,03;0,06
3,890;-0,01;-0,03;-0,08
3,900;-0,01;-0,03;-0,28
3,910;-0,01;-0,03;-0,36
3,920;-0,02;-0,04;-0,08
3,930;-0,02;-0,04;0,37
3,940;-0,02;-0,03;0,54
3,950;-0,02;-0,02;0,39
3,960;-0,02;-0,02;0,24
3,970;-0,02;-0,02;0,27
3,980;-0,02;-0,02;0,42
3,990;-0,02;-0,01;0,57
4,000;-0,02;-0,01;0,63
4,010;-0,02;0,00;0,49
4,020;-0,02;0,01;0,37
4,030;-0,02;0,01;0,47
4,040;-0,02;0,01;0,59
4,050;-0,02;0,02;0,40
4,060;-0,02;0,02;0,18
4,070;-0,02;0,02;0,31
4,080;-0,02;0,03;0,62
4,090;-0,02;0,04;0,64
4,100;-0,02;0,04;0,40
4,110;-0,02;0,04;0,20
4,120;-0,01;0,05;0,06
4,130;-0,01;0,05;-0,04
4,140;-0,01;0,04;-0,10
4,150;-0,01;0,04;-0,05
4,160;-0,01;0,04;-0,04
4,170;-0,01;0,04;-0,09
4,180;-0,01;0,04;-0,14
4,190;-0,01;0,04;-0,14
4,200;-0,01;0,04;-0,14
4,210;-0,01;0,04;-0,18
4,220;-0,01;0,03;-0,27
4,230;-0,01;0,03;-0,43
4,240;-0,01;0,03;-0,44
4,250;-0,01;0,02;-0,34
4,260;-0,01;0,02;-0,28
4,270;-0,01;0,02;-0,38
4,280;-0,01;0,01;-0,44
4,290;-0,01;0,01;-0,33
4,300;-0,01;0,01;-0,36
4,310;-0,01;0,00;-0,62
4,320;-0,01;-0,01;-0,70
4,330;-0,01;-0,02;-0,32
4,340;-0,01;-0,01;0,15
4,350;-0,01;-0,01;0,13
4,360;-0,01;-0,01;-0,31
4,370;-0,01;-0,02;-0,67
4,380;-0,01;-0,03;-0,65
4,390;-0,01;-0,03;-0,27
4,400;-0,01;-0,03;0,14
4,410;-0,01;-0,03;0,26
4,420;-0,01;-0,02;0,02
4,430;-0,01;-0,03;-0,28
4,440;-0,01;-0,03;-0,39
4,450;-0,01;-0,03;-0,31
4,460;-0,01;-0,04;-0,04
4,470;-0,01;-0,04;0,44
4,480;-0,01;-0,03;0,92
4,490;-0,01;-0,02;0,86
4,500;-0,01;-0,01;0,23
4,510;-0,01;-0,01;-0,30
4,520;-0,01;-0,02;-0,14
4,530;-0,01;-0,02;0,47
4,540;-0,01;-0,01;0,66
4,550;-0,01;0,00;0,18
4,560;-0,01;0,00;-0,26
4,570;-0,01;-0,01;0,00
4,580;-0,01;-0,01;0,66
4,590;-0,01;0,01;0,80
4,600;-0,01;0,02;0,31
4,610;-0,01;0,01;-0,05
4,620;-0,01;0,01;0,00
4,630;-0,01;0,01;0,06
