time;position;velocity;acceleration
1.0000;0.4788;0.2900;-4.3317
1.0100;0.4815;0.2450;-4.7285
1.0200;0.4838;0.1935;-5.0500
1.0300;0.4854;0.1420;-5.1199
1.0400;0.4865;0.0900;-5.0265
1.0500;0.4873;0.0413;-4.9265
1.0600;0.4873;-0.0074;-4.8808
1.0700;0.4871;-0.0562;-4.8952
1.0800;0.4863;-0.1054;-4.4792
1.0900;0.4850;-0.1545;-3.5189
1.1000;0.4831;-0.1779;-2.8338
1.1100;0.4810;-0.1948;-3.3563
1.1200;0.4796;-0.2351;-4.7969
1.1300;0.4768;-0.2987;-5.5672
1.1400;0.4732;-0.3618;-5.1468
1.1500;0.4695;-0.4021;-4.5851
1.1600;0.4652;-0.4405;-4.7339
1.1700;0.4606;-0.4951;-4.9812
1.1800;0.4556;-0.5528;-4.0590
1.1900;0.4494;-0.5886;-1.9541
1.2000;0.4433;-0.5905;-0.0656
1.2100;0.4376;-0.5747;0.5390
1.2200;0.4319;-0.5707;0.0611
1.2300;0.4263;-0.5761;-0.4956
1.2400;0.4204;-0.5854;-0.4101
1.2500;0.4146;-0.5897;0.2077
1.2600;0.4085;-0.5817;0.9195
1.2700;0.4028;-0.5673;1.2904
1.2800;0.3973;-0.5526;1.3341
1.2900;0.3917;-0.5414;1.3980
1.3000;0.3864;-0.5276;1.7550
1.3100;0.3812;-0.5084;2.3786
1.3200;0.3762;-0.4803;3.0228
1.3300;0.3714;-0.4460;3.4750
1.3400;0.3673;-0.4086;3.7195
1.3500;0.3633;-0.3715;3.9051
1.3600;0.3598;-0.3316;4.1384
1.3700;0.3567;-0.2888;4.4340
1.3800;0.3540;-0.2431;4.6435
1.3900;0.3517;-0.1940;4.6565
1.4000;0.3501;-0.1478;4.5017
1.4100;0.3489;-0.1047;4.4326
1.4200;0.3480;-0.0623;4.5692
1.4300;0.3476;-0.0135;4.7681
1.4400;0.3477;0.0352;4.8714
1.4500;0.3484;0.0839;4.8694
1.4600;0.3493;0.1326;4.8722
1.4700;0.3510;0.1812;4.8325
1.4800;0.3530;0.2302;4.6975
1.4900;0.3555;0.2762;4.4624
1.5000;0.3586;0.3194;4.1700
1.5100;0.3620;0.3597;3.9309
1.5200;0.3657;0.3969;3.7025
1.5300;0.3700;0.4346;3.3842
1.5400;0.3744;0.4667;2.9238
1.5500;0.3794;0.4930;2.2998
1.5600;0.3843;0.5139;1.7073
1.5700;0.3897;0.5254;1.2942
1.5800;0.3950;0.5368;1.1834
1.5900;0.4003;0.5478;1.2542
1.6000;0.4059;0.5625;1.1459
1.6100;0.4116;0.5749;0.7409
1.6200;0.4174;0.5785;0.1114
1.6300;0.4233;0.5763;-0.4282
1.6400;0.4289;0.5677;-0.8073
1.6500;0.4346;0.5599;-1.1811
1.6600;0.4401;0.5464;-1.6029
1.6700;0.4457;0.5268;-2.0843
1.6800;0.4507;0.5047;-2.5121
1.6900;0.4557;0.4766;-2.9537
1.7000;0.4604;0.4459;-3.3131
1.7100;0.4646;0.4084;-3.4626
1.7200;0.4686;0.3741;-3.5453
1.7300;0.4720;0.3406;-3.7176
1.7400;0.4754;0.3010;-4.0592
1.7500;0.4782;0.2585;-4.3664
1.7600;0.4805;0.2127;-4.5243
1.7700;0.4824;0.1669;-4.5804
1.7800;0.4839;0.1211;-4.5822
1.7900;0.4848;0.0752;-4.5773
1.8000;0.4854;0.0294;-4.6202
1.8100;0.4855;-0.0161;-4.7177
1.8200;0.4850;-0.0648;-4.8287
1.8300;0.4842;-0.1136;-4.8507
1.8400;0.4827;-0.1628;-4.7158
