"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;-0,02;;
0,010;-0,02;0,03;
0,020;-0,02;0,06;2,16
0,030;-0,02;0,07;0,84
0,040;-0,01;0,07;0,02
0,050;-0,01;0,07;-0,25
0,060;-0,01;0,07;-0,15
0,070;-0,01;0,07;-0,10
0,080;-0,01;0,07;-0,08
0,090;-0,01;0,06;-0,23
0,100;-0,01;0,06;-0,33
0,110;-0,01;0,05;-0,39
0,120;-0,01;0,05;-0,34
0,130;-0,01;0,05;-0,28
0,140;-0,01;0,05;-0,34
0,150;-0,01;0,04;-0,23
0,160;-0,01;0,04;-0,28
0,170;-0,01;0,04;-0,37
0,180;-0,01;0,03;-0,57
0,190;-0,01;0,03;-0,64
0,200;-0,01;0,02;-0,39
0,210;-0,01;0,02;-0,24
0,220;-0,01;0,02;-0,18
0,230;-0,01;0,01;-0,29
0,240;0,00;0,01;-0,29
0,250;-0,01;0,01;-0,23
0,260;-0,01;0,01;-0,38
0,270;0,00;0,00;-0,45
0,280;0,00;-0,01;-0,26
0,290;-0,01;0,00;-0,04
0,300;-0,01;4,89E-4;-0,09
0,310;0,00;-0,01;-0,15
0,320;-0,01;-0,01;-0,08
0,330;-0,01;0,00;-0,22
0,340;-0,01;-0,01;-0,49
0,350;-0,01;-0,02;-0,36
0,360;-0,01;-0,02;0,01
0,370;-0,01;-0,01;-0,07
0,380;-0,01;-0,02;-0,40
0,390;-0,01;-0,03;-0,23
0,400;-0,01;-0,03;0,29
0,410;-0,01;-0,01;0,24
0,420;-0,01;-0,01;-0,33
0,430;-0,01;-0,03;-0,47
0,440;-0,01;-0,03;0,03
0,450;-0,01;-0,02;0,31
0,460;-0,01;-0,02;-0,03
0,470;-0,01;-0,03;-0,31
0,480;-0,01;-0,03;-0,07
0,490;-0,01;-0,03;0,25
0,500;-0,01;-0,02;0,12
0,510;-0,01;-0,02;-0,15
0,520;-0,01;-0,03;-0,07
0,530;-0,01;-0,03;0,19
0,540;-0,01;-0,02;0,21
0,550;-0,01;-0,02;0,00
0,560;-0,01;-0,02;-0,06
0,570;-0,01;-0,02;0,09
0,580;-0,01;-0,02;0,19
0,590;-0,01;-0,02;0,19
0,600;-0,01;-0,02;0,19
0,610;-0,01;-0,01;0,20
0,620;-0,01;-0,01;0,15
0,630;-0,01;-0,01;0,05
0,640;-0,01;-0,01;0,04
0,650;-0,01;-0,01;0,10
0,660;-0,01;-0,01;0,10
0,670;-0,01;-0,01;0,09
0,680;-0,01;-0,01;0,14
0,690;-0,01;-0,01;0,20
0,700;-0,01;0,00;0,15
0,710;-0,01;0,00;0,10
0,720;-0,01;0,00;0,10
0,730;-0,01;0,00;0,06
0,740;-0,01;2,39E-4;-0,05
0,750;-0,01;0,00;-0,06
0,760;-0,01;0,00;0,05
0,770;-0,01;0,00;0,06
0,780;-0,01;2,39E-4;-0,04
0,790;-0,01;0,00;-0,10
0,800;-0,01;0,00;-0,10
0,810;-0,01;0,00;-0,10
0,820;-0,01;-0,01;-0,10
0,830;-0,01;-0,01;-0,05
0,840;-0,01;-0,01;-0,04
0,850;-0,01;-0,01;-0,14
0,860;-0,01;-0,01;-0,24
0,870;-0,01;-0,01;-0,25
0,880;-0,01;-0,01;-0,11
0,890;-0,01;-0,01;0,05
0,900;-0,01;-0,01;0,02
0,910;-0,01;-0,01;-0,23
0,920;-0,01;-0,02;-0,39
0,930;-0,01;-0,02;-0,26
0,940;-0,01;-0,02;0,00
0,950;-0,01;-0,02;0,06
0,960;-0,01;-0,02;-0,05
0,970;-0,01;-0,02;-0,06
0,980;-0,01;-0,02;0,05
0,990;-0,01;-0,02;0,06
1,000;-0,01;-0,02;-0,09
1,010;-0,02;-0,02;-0,20
1,020;-0,02;-0,03;-0,15
1,030;-0,02;-0,03;-0,10
1,040;-0,02;-0,03;-0,10
1,050;-0,02;-0,03;-0,06
1,060;-0,02;-0,03;0,13
1,070;-0,02;-0,03;0,29
1,080;-0,02;-0,02;0,21
1,090;-0,02;-0,02;0,00
1,100;-0,02;-0,02;-0,05
1,110;-0,02;-0,02;0,00
1,120;-0,02;-0,02;-0,05
1,130;-0,02;-0,02;-0,06
1,140;-0,02;-0,03;0,13
1,150;-0,02;-0,02;0,34
1,160;-0,02;-0,01;0,25
1,170;-0,02;-0,01;0,09
1,180;-0,02;-0,02;0,14
1,190;-0,02;-0,01;0,24
1,200;-0,02;-0,01;0,25
1,210;-0,02;-0,01;0,15
1,220;-0,02;-0,01;0,05
1,230;-0,02;-0,01;-0,01
1,240;-0,02;-0,01;0,13
1,250;-0,02;-0,01;0,34
1,260;-0,02;0,00;0,30
1,270;-0,02;0,00;0,14
1,280;-0,02;-4,66E-4;0,18
1,290;-0,02;0,01;0,39
1,300;-0,02;0,01;0,35
1,310;-0,02;0,01;0,14
1,320;-0,02;0,01;0,14
1,330;-0,02;0,01;0,19
1,340;-0,02;0,02;0,19
1,350;-0,02;0,02;0,14
1,360;-0,02;0,02;0,18
1,370;-0,02;0,02;0,30
1,380;-0,02;0,03;0,16
1,390;-0,02;0,03;-0,01
1,400;-0,02;0,02;0,08
1,410;-0,02;0,03;0,28
