"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;-0,02;;
0,010;-0,02;0,01;
0,020;-0,02;0,07;4,33
0,030;-0,02;0,09;0,91
0,040;-0,02;0,06;-0,58
0,050;-0,02;0,07;-0,53
0,060;-0,02;0,06;0,13
0,070;-0,02;0,07;0,29
0,080;-0,02;0,07;0,31
0,090;-0,02;0,07;0,02
0,100;-0,01;0,07;-0,18
0,110;-0,01;0,07;-0,29
0,120;-0,01;0,07;-0,29
0,130;-0,01;0,06;-0,29
0,140;-0,01;0,06;-0,25
0,150;-0,01;0,05;-0,14
0,160;-0,01;0,06;-0,14
0,170;-0,01;0,05;-0,14
0,180;-0,01;0,05;-0,23
0,190;-0,01;0,05;-0,28
0,200;-0,01;0,05;-0,37
0,210;-0,01;0,04;-0,47
0,220;-0,01;0,04;-0,52
0,230;-0,01;0,03;-0,58
0,240;-0,01;0,03;-0,53
0,250;-0,01;0,02;-0,43
0,260;-0,01;0,02;-0,38
0,270;-0,01;0,01;-0,42
0,280;-0,01;0,01;-0,57
0,290;-0,01;0,00;-0,68
0,300;-0,01;-0,01;-0,59
0,310;-0,01;-0,01;-0,38
0,320;-0,01;-0,01;-0,40
0,330;-0,01;-0,01;-0,76
0,340;-0,01;-0,03;-0,90
0,350;-0,01;-0,04;-0,43
0,360;-0,01;-0,04;0,23
0,370;-0,01;-0,03;0,33
0,380;-0,01;-0,03;-0,19
0,390;-0,01;-0,03;-0,80
0,400;-0,01;-0,04;-1,03
0,410;-0,01;-0,06;-0,77
0,420;-0,01;-0,06;-0,19
0,430;-0,01;-0,06;0,37
0,440;-0,01;-0,05;0,55
0,450;-0,01;-0,05;0,31
0,460;-0,01;-0,05;-0,03
0,470;-0,01;-0,05;-0,27
0,480;-0,01;-0,05;-0,43
0,490;-0,01;-0,06;-0,42
0,500;-0,01;-0,06;0,03
0,510;-0,02;-0,06;0,83
0,520;-0,02;-0,04;1,27
0,530;-0,02;-0,03;0,93
0,540;-0,02;-0,02;0,08
0,550;-0,02;-0,03;-0,37
0,560;-0,02;-0,04;-0,01
0,570;-0,02;-0,03;0,74
0,580;-0,02;-0,02;1,08
0,590;-0,02;0,00;0,70
0,600;-0,02;0,00;0,29
0,610;-0,02;-0,01;0,28
0,620;-0,02;0,00;0,39
0,630;-0,02;0,01;0,25
0,640;-0,02;0,01;0,12
0,650;-0,02;0,01;0,36
