"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
1,740;-0,02;-0,06;0,32
1,750;-0,02;-0,05;1,10
1,760;-0,02;-0,03;1,20
1,770;-0,02;-0,02;0,54
1,780;-0,02;-0,02;-0,32
1,790;-0,02;-0,03;-0,58
1,800;-0,02;-0,04;0,07
1,810;-0,02;-0,03;1,00
1,820;-0,02;-0,01;1,14
1,830;-0,02;4,67E-4;0,59
1,840;-0,02;-0,01;0,32
1,850;-0,02;0,00;0,52
1,860;-0,02;0,01;0,64
1,870;-0,02;0,01;0,44
1,880;-0,02;0,01;0,32
1,890;-0,02;0,02;0,47
1,900;-0,02;0,03;0,53
1,910;-0,02;0,03;0,44
1,920;-0,02;0,03;0,35
1,930;-0,02;0,04;0,18
1,940;-0,02;0,04;0,26
1,950;-0,02;0,04;0,61
1,960;-0,02;0,05;0,83
1,970;-0,02;0,06;0,67
1,980;-0,01;0,06;0,07
1,990;-0,01;0,06;-0,24
2,000;-0,01;0,05;-0,20
2,010;-0,01;0,06;-0,06
2,020;-0,01;0,06;0,10
2,030;-0,01;0,06;0,06
2,040;-0,01;0,06;-0,03
2,050;-0,01;0,06;-0,27
2,060;-0,01;0,06;-0,52
2,070;-0,01;0,05;-0,58
2,080;-0,01;0,04;-0,49
2,090;-0,01;0,04;-0,33
2,100;-0,01;0,03;-0,33
2,110;-0,01;0,03;-0,43
2,120;-0,01;0,03;-0,48
2,130;-0,01;0,02;-0,43
2,140;-0,01;0,02;-0,37
2,150;-0,01;0,01;-0,47
2,160;-0,01;0,01;-0,62
2,170;-0,01;4,87E-4;-0,64
2,180;-0,01;-0,01;-0,45
2,190;-0,01;-0,01;-0,23
2,200;-0,01;-0,01;-0,31
2,210;-0,01;-0,01;-0,61
2,220;-0,01;-0,02;-0,75
2,230;-0,01;-0,03;-0,41
2,240;-0,01;-0,03;0,00
2,250;-0,01;-0,03;-0,02
2,260;-0,01;-0,03;-0,40
2,270;-0,01;-0,04;-0,76
2,280;-0,01;-0,05;-0,83
