time;position;velocity;acceleration
1.0000;0.4052;0.5964;2.0642
1.0100;0.4114;0.6121;1.1184
1.0200;0.4176;0.6159;0.0814
1.0300;0.4238;0.6106;-0.6062
1.0400;0.4298;0.6028;-1.0926
1.0500;0.4358;0.5889;-1.4786
1.0600;0.4417;0.5721;-1.8106
1.0700;0.4472;0.5525;-2.1371
1.0800;0.4527;0.5305;-2.5243
1.0900;0.4579;0.5023;-2.8637
1.1000;0.4628;0.4709;-3.1425
1.1100;0.4673;0.4403;-3.4635
1.1200;0.4716;0.4039;-3.9067
1.1300;0.4755;0.3614;-4.2675
1.1400;0.4788;0.3153;-4.4180
1.1500;0.4818;0.2728;-4.5083
1.1600;0.4842;0.2275;-4.6534
1.1700;0.4864;0.1788;-4.8051
1.1800;0.4878;0.1301;-4.8956
1.1900;0.4889;0.0818;-5.0343
1.2000;0.4895;0.0307;-5.2413
1.2100;0.4896;-0.0238;-5.3596
1.2200;0.4890;-0.0787;-5.3276
1.2300;0.4880;-0.1304;-5.1932
1.2400;0.4864;-0.1824;-5.0106
1.2500;0.4844;-0.2317;-4.7799
1.2600;0.4817;-0.2780;-4.4876
1.2700;0.4788;-0.3215;-4.2429
1.2800;0.4752;-0.3618;-4.0522
1.2900;0.4715;-0.4025;-3.8743
1.3000;0.4673;-0.4402;-3.6067
1.3100;0.4627;-0.4756;-3.1820
1.3200;0.4577;-0.5051;-2.6901
1.3300;0.4526;-0.5285;-2.2873
1.3400;0.4471;-0.5487;-2.0466
1.3500;0.4416;-0.5692;-1.8302
1.3600;0.4358;-0.5872;-1.4161
1.3700;0.4297;-0.5998;-0.8394
1.3800;0.4237;-0.6031;-0.2561
1.3900;0.4177;-0.6037;0.2789
1.4000;0.4116;-0.5987;0.7706
1.4100;0.4056;-0.5875;1.1776
1.4200;0.3999;-0.5731;1.3762
1.4300;0.3942;-0.5587;1.5046
1.4400;0.3886;-0.5449;1.7762
1.4500;0.3833;-0.5254;2.2078
1.4600;0.3781;-0.4998;2.6453
1.4700;0.3732;-0.4713;3.0241
1.4800;0.3687;-0.4403;3.4548
1.4900;0.3644;-0.4035;3.9052
1.5000;0.3605;-0.3603;4.1641
1.5100;0.3572;-0.3169;4.2063
1.5200;0.3542;-0.2770;4.2857
1.5300;0.3516;-0.2345;4.5230
1.5400;0.3495;-0.1856;4.7703
1.5500;0.3479;-0.1368;4.9169
1.5600;0.3468;-0.0884;5.0104
1.5700;0.3461;-0.0367;5.1133
1.5800;0.3460;0.0149;5.1208
1.5900;0.3465;0.0667;5.0280
1.6000;0.3473;0.1154;4.8876
1.6100;0.3488;0.1644;4.6948
1.6200;0.3506;0.2105;4.4973
1.6300;0.3530;0.2534;4.3478
1.6400;0.3557;0.2963;4.2562
1.6500;0.3589;0.3395;4.1219
1.6600;0.3625;0.3798;3.8930
1.6700;0.3666;0.4172;3.5641
1.6800;0.3708;0.4521;3.1880
1.6900;0.3756;0.4810;2.7595
1.7000;0.3806;0.5073;2.3316
1.7100;0.3857;0.5276;1.9036
1.7200;0.3912;0.5454;1.4590
1.7300;0.3967;0.5571;1.1457
1.7400;0.4023;0.5653;1.0349
1.7500;0.4080;0.5764;1.4703
1.7600;0.4138;0.5882;2.2963
1.7700;0.4198;0.6224;3.2180
1.7800;0.4258;0.6570;2.2381
1.7900;0.4333;0.7006;-1.8342
1.8000;0.4397;0.6443;-6.5520
1.8100;0.4479;0.5251;-8.0377
1.8200;0.4498;0.4394;-4.8458
1.8300;0.4547;0.4233;-1.2560
1.8400;0.4593;0.4554;-0.4303
1.8500;0.4638;0.4337;-1.8206
1.8600;0.4680;0.4031;-3.2683
1.8700;0.4720;0.3663;-3.7646
1.8800;0.4753;0.3267;-4.1056
1.8900;0.4785;0.2842;-4.4064
1.9000;0.4811;0.2389;-4.6189
1.9100;0.4833;0.1898;-4.6748
1.9200;0.4849;0.1440;-4.6631
1.9300;0.4861;0.0986;-4.7472
1.9400;0.4869;0.0503;-4.9539
1.9500;0.4872;-0.0013;-5.0785
1.9600;0.4869;-0.0533;-5.0052
1.9700;0.4861;-0.1025;-4.7681
1.9800;0.4848;-0.1488;-4.5173
1.9900;0.4831;-0.1919;-4.3687
2.0000;0.4809;-0.2350;-4.2810
2.0100;0.4784;-0.2785;-4.1519
2.0200;0.4754;-0.3191;-3.9202
2.0300;0.4720;-0.3569;-3.6399
2.0400;0.4682;-0.3918;-3.4491
2.0500;0.4641;-0.4242;-2.0323
2.0600;0.4597;-0.4587;-0.1592
2.0700;0.4551;-0.4119;-0.4788
2.0800;0.4498;-0.4137;-3.8614
2.0900;0.4493;-0.4980;-7.5164
2.1000;0.4406;-0.6043;-6.7843
2.1100;0.4344;-0.6722;-3.1892
2.1200;0.4285;-0.6465;0.2193
