time;position;velocity;acceleration
1.0000;-0.0086;-0.0014;0.5276
1.0050;-0.0086;0.0044;0.8102
1.0100;-0.0086;0.0115;0.6648
1.0150;-0.0084;0.0115;0.2368
1.0200;-0.0084;0.0115;3.1069E-13
1.0250;-0.0085;0.0115;1.7920E-13
1.0300;-0.0083;0.0115;-0.0458
1.0350;-0.0083;0.0115;0.0995
1.0400;-0.0083;0.0101;0.4816
1.0450;-0.0081;0.0158;0.9096
1.0500;-0.0081;0.0216;1.1923
1.0550;-0.0080;0.0273;1.0471
1.0600;-0.0078;0.0344;0.6649
1.0650;-0.0076;0.0344;0.2369
1.0700;-0.0074;0.0344;1.5959E-14
1.0750;-0.0073;0.0344;0.0460
1.0800;-0.0071;0.0344;-0.0991
1.0850;-0.0069;0.0358;-0.5273
1.0900;-0.0067;0.0300;-0.8563
1.0950;-0.0065;0.0229;-0.5661
1.1000;-0.0066;0.0216;0.2442
1.1050;-0.0064;0.0273;0.9093
1.1100;-0.0062;0.0330;1.1464
1.1150;-0.0061;0.0387;1.1924
1.1200;-0.0059;0.0445;1.1397
1.1250;-0.0055;0.0516;0.4677
1.1300;-0.0054;0.0544;-0.7709
1.1350;-0.0050;0.0429;-1.8582
1.1400;-0.0048;0.0300;-1.5158
1.1450;-0.0049;0.0202;0.1052
1.1500;-0.0047;0.0316;1.5287
1.1550;-0.0046;0.0445;1.7596
1.1600;-0.0042;0.0516;0.8043
1.1650;-0.0040;0.0530;-0.2434
1.1700;-0.0037;0.0472;-0.9553
1.1750;-0.0035;0.0415;-1.0479
1.1800;-0.0033;0.0344;-0.6658
1.1850;-0.0031;0.0344;-0.2838
1.1900;-0.0030;0.0344;0.0982
1.1950;-0.0028;0.0330;0.5268
1.2000;-0.0026;0.0387;0.8572
1.2050;-0.0025;0.0459;0.5679
1.2100;-0.0021;0.0473;-0.2893
1.2150;-0.0019;0.0415;-0.8108
1.2200;-0.0018;0.0344;-0.6661
1.2250;-0.0016;0.0344;-0.2375
1.2300;-0.0014;0.0344;6.2450E-14
1.2350;-0.0012;0.0344;3.0809E-13
1.2400;-0.0011;0.0344;1.8457E-13
1.2450;-9.0195E-4;0.0344;0.0467
1.2500;-7.2996E-4;0.0344;-0.0977
1.2550;-5.5798E-4;0.0358;-0.5266
1.2600;-3.8600E-4;0.0301;-0.8110
1.2650;-1.7200E-4;0.0229;-0.6666
1.2700;-2.1402E-4;0.0229;-0.1910
1.2750;-4.2033E-5;0.0229;-0.1444
1.2800;1.7200E-4;0.0243;-0.3822
1.2850;1.2995E-4;0.0172;-0.4289
1.2900;3.4400E-4;0.0172;-0.2378
1.2950;3.0193E-4;0.0172;0.0468
1.3000;5.1600E-4;0.0172;-0.1443
1.3050;4.7392E-4;0.0186;-0.3822
1.3100;6.8800E-4;0.0115;-0.4290
1.3150;6.8800E-4;0.0115;-0.1911
1.3200;6.4590E-4;0.0115;-0.1443
1.3250;8.6000E-4;0.0129;-0.4290
1.3300;8.6000E-4;0.0057;-0.2847
1.3350;8.6000E-4;0.0043;0.1911
1.3400;8.1788E-4;0.0115;0.3784
1.3450;0.0010;0.0129;-0.3861
1.3500;0.0010;0.0085;-1.3377
1.3550;0.0010;-0.0043;-1.5250
1.3600;0.0011;-0.0115;-0.7606
1.3650;8.6000E-4;-0.0129;0.1911
1.3700;8.6000E-4;-0.0057;0.2847
1.3750;8.6000E-4;-0.0043;-0.1443
1.3800;9.0213E-4;-0.0115;-0.3823
1.3850;6.8800E-4;-0.0115;-0.3355
1.3900;6.8800E-4;-0.0101;-0.5266
1.3950;7.3011E-4;-0.0158;-0.8580
1.4000;5.5809E-4;-0.0229;-0.5226
1.4050;3.4400E-4;-0.0243;0.1443
1.4100;3.8608E-4;-0.0172;0.4290
1.4150;1.7200E-4;-0.0172;0.2846
1.4200;2.1406E-4;-0.0172;-0.0977
1.4250;0.0000;-0.0158;-0.5267
1.4300;4.2041E-5;-0.0215;-0.8579
1.4350;-1.2998E-4;-0.0287;-0.5224
1.4400;-3.0199E-4;-0.0301;0.2376
1.4450;-5.1600E-4;-0.0229;0.2332
1.4500;-4.7401E-4;-0.0201;-0.8157
1.4550;-6.4603E-4;-0.0316;-1.6689
1.4600;-7.7608E-4;-0.0459;-1.2355
1.4650;-0.0012;-0.0473;0.0047
1.4700;-0.0013;-0.0415;0.9558
1.4750;-0.0015;-0.0358;1.0954
1.4800;-0.0017;-0.0287;0.5684
1.4850;-0.0019;-0.0273;-0.2893
1.4900;-0.0018;-0.0330;-0.8111
1.4950;-0.0022;-0.0401;-0.6201
1.5000;-0.0024;-0.0401;-0.3823
1.5050;-0.0025;-0.0387;-0.4286
1.5100;-0.0027;-0.0459;-0.3303
1.5150;-0.0031;-0.0473;0.2894
1.5200;-0.0032;-0.0415;0.8572
1.5250;-0.0034;-0.0344;0.5677
1.5300;-0.0036;-0.0330;-0.2896
1.5350;-0.0037;-0.0387;-0.8109
1.5400;-0.0039;-0.0459;-0.7123
1.5450;-0.0043;-0.0459;-0.1387
1.5500;-0.0044;-0.0473;0.4811
1.5550;-0.0046;-0.0415;0.9557
1.5600;-0.0050;-0.0358;1.1403
1.5650;-0.0049;-0.0287;0.4219
1.5700;-0.0051;-0.0259;-0.6722
1.5750;-0.0053;-0.0388;-1.2391
1.5800;-0.0054;-0.0459;-0.9031
1.5850;-0.0058;-0.0459;-0.2833
1.5900;-0.0060;-0.0459;0.0532
1.5950;-0.0061;-0.0473;0.6266
1.6000;-0.0065;-0.0429;1.3839
1.6050;-0.0067;-0.0301;1.3767
1.6100;-0.0067;-0.0216;0.3292
1.6150;-0.0068;-0.0273;-0.4740
1.6200;-0.0070;-0.0358;-0.1378
1.6250;-0.0072;-0.0300;0.6192
1.6300;-0.0074;-0.0229;0.5658
1.6350;-0.0074;-0.0216;-0.2905
1.6400;-0.0075;-0.0273;-0.8562
1.6450;-0.0077;-0.0344;-0.5656
1.6500;-0.0079;-0.0358;0.2448
1.6550;-0.0080;-0.0300;0.9099
1.6600;-0.0083;-0.0243;1.1926
1.6650;-0.0082;-0.0186;1.0473
1.6700;-0.0084;-0.0115;0.6650
1.6750;-0.0084;-0.0115;0.2369
1.6800;-0.0084;-0.0115;2.4286E-13
1.6850;-0.0086;-0.0115;2.4286E-13
1.6900;-0.0086;-0.0115;-0.0457
1.6950;-0.0086;-0.0115;0.0996
1.7000;-0.0088;-0.0128;0.5276
1.7050;-0.0088;-0.0071;0.8102
1.7100;-0.0088;0.0000;0.6648
1.7150;-0.0088;0.0000;0.2369
1.7200;-0.0088;0.0000;0.0000
1.7250;-0.0088;0.0000;-0.0457
1.7300;-0.0088;0.0000;0.0997
1.7350;-0.0088;-0.0014;0.5276
1.7400;-0.0088;0.0044;0.8102
1.7450;-0.0088;0.0115;0.6648
1.7500;-0.0086;0.0115;0.2368
1.7550;-0.0086;0.0115;2.1198E-13
1.7600;-0.0086;0.0115;2.2742E-13
1.7650;-0.0084;0.0115;-0.0458
1.7700;-0.0084;0.0115;0.1453
1.7750;-0.0085;0.0101;0.3822
1.7800;-0.0083;0.0172;0.3821
1.7850;-0.0083;0.0172;0.3363
1.7900;-0.0081;0.0158;0.4816
1.7950;-0.0081;0.0216;0.9554
1.8000;-0.0080;0.0273;1.0471
1.8050;-0.0078;0.0344;0.6649
1.8100;-0.0076;0.0344;0.2828
1.8150;-0.0074;0.0344;-0.0992
1.8200;-0.0073;0.0358;-0.5273
1.8250;-0.0071;0.0300;-0.8562
1.8300;-0.0069;0.0229;-0.5659
1.8350;-0.0069;0.0216;0.2903
1.8400;-0.0067;0.0273;0.8103
1.8450;-0.0066;0.0344;0.6191
1.8500;-0.0064;0.0344;0.3360
1.8550;-0.0062;0.0330;0.5272
1.8600;-0.0061;0.0387;0.8565
1.8650;-0.0059;0.0459;0.5664
1.8700;-0.0055;0.0472;-0.2901
1.8750;-0.0054;0.0415;-0.8104
1.8800;-0.0052;0.0344;-0.7116
1.8850;-0.0050;0.0344;-0.1384
1.8900;-0.0049;0.0330;0.4808
1.8950;-0.0047;0.0387;0.9553
1.9000;-0.0046;0.0445;1.0940
1.9050;-0.0042;0.0516;0.5671
1.9100;-0.0040;0.0530;-0.2434
1.9150;-0.0037;0.0472;-0.9553
1.9200;-0.0035;0.0415;-1.0479
1.9250;-0.0033;0.0344;-0.7122
1.9300;-0.0031;0.0344;-0.1391
1.9350;-0.0030;0.0330;0.5269
1.9400;-0.0028;0.0387;0.8572
1.9450;-0.0027;0.0459;0.5678
1.9500;-0.0023;0.0473;-0.2894
1.9550;-0.0021;0.0415;-0.8108
1.9600;-0.0019;0.0344;-0.6661
1.9650;-0.0018;0.0344;-0.2375
1.9700;-0.0016;0.0344;-1.9429E-13
1.9750;-0.0014;0.0344;6.2450E-14
1.9800;-0.0012;0.0344;3.0809E-13
1.9850;-0.0011;0.0344;0.0467
1.9900;-9.0195E-4;0.0344;-0.0978
1.9950;-7.2996E-4;0.0358;-0.5266
