"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
2,530;0,42;-0,44
2,540;0,42;-0,48
2,550;0,41;-0,51
2,560;0,41;-0,53
2,570;0,40;-0,54
2,580;0,40;-0,56
2,590;0,39;-0,57
2,600;0,39;-0,59
2,610;0,38;-0,61
2,620;0,38;-0,62
2,630;0,37;-0,62
2,640;0,36;-0,61
2,650;0,36;-0,61
2,660;0,35;-0,60
2,670;0,34;-0,59
2,680;0,34;-0,57
2,690;0,33;-0,55
2,700;0,33;-0,53
2,710;0,32;-0,50
2,720;0,32;-0,47
2,730;0,31;-0,44
2,740;0,31;-0,41
2,750;0,31;-0,37
2,760;0,30;-0,33
2,770;0,30;-0,29
2,780;0,30;-0,24
2,790;0,29;-0,20
2,800;0,29;-0,16
2,810;0,29;-0,12
2,820;0,29;-0,07
2,830;0,29;-0,02
2,840;0,29;0,02
2,850;0,29;0,07
2,860;0,29;0,12
2,870;0,29;0,16
2,880;0,29;0,21
2,890;0,30;0,25
2,900;0,30;0,29
2,910;0,30;0,33
2,920;0,31;0,37
2,930;0,31;0,41
2,940;0,31;0,44
2,950;0,32;0,47
2,960;0,32;0,50
2,970;0,33;0,52
2,980;0,33;0,55
2,990;0,34;0,57
3,000;0,34;0,58
3,010;0,35;0,59
3,020;0,36;0,60
3,030;0,36;0,61
3,040;0,37;0,61
3,050;0,37;0,60
3,060;0,38;0,60
3,070;0,39;0,58
3,080;0,39;0,57
3,090;0,40;0,55
3,100;0,40;0,53
3,110;0,41;0,51
3,120;0,41;0,49
3,130;0,42;0,46
3,140;0,42;0,43
3,150;0,43;0,40
3,160;0,43;0,36
3,170;0,43;0,31
3,180;0,44;0,27
3,190;0,44;0,23
3,200;0,44;0,19
3,210;0,44;0,15
3,220;0,45;0,10
3,230;0,45;0,06
3,240;0,45;0,01
3,250;0,45;-0,04
3,260;0,45;-0,09
3,270;0,44;-0,13
3,280;0,44;-0,18
3,290;0,44;-0,22
3,300;0,44;-0,26
3,310;0,44;-0,30
3,320;0,43;-0,34
3,330;0,43;-0,37
3,340;0,43;-0,40
3,350;0,42;-0,44
3,360;0,42;-0,47
3,370;0,41;-0,49
3,380;0,41;-0,50
3,390;0,40;-0,51
3,400;0,40;-0,53
3,410;0,39;-0,56
3,420;0,39;-0,58
3,430;0,38;-0,59
3,440;0,37;-0,59
3,450;0,37;-0,59
3,460;0,36;-0,59
3,470;0,36;-0,58
3,480;0,35;-0,57
3,490;0,34;-0,56
3,500;0,34;-0,54
3,510;0,33;-0,52
3,520;0,33;-0,50
3,530;0,32;-0,47
3,540;0,32;-0,44
3,550;0,31;-0,41
3,560;0,31;-0,38
3,570;0,31;-0,34
3,580;0,30;-0,31
3,590;0,30;-0,27
3,600;0,30;-0,22
3,610;0,30;-0,18
3,620;0,29;-0,14
3,630;0,29;-0,10
3,640;0,29;-0,05
3,650;0,29;0,00
3,660;0,29;0,04
3,670;0,29;0,08
3,680;0,29;0,13
3,690;0,30;0,17
3,700;0,30;0,21
3,710;0,30;0,25
3,720;0,30;0,29
3,730;0,31;0,33
3,740;0,31;0,37
3,750;0,31;0,40
3,760;0,32;0,43
3,770;0,32;0,46
3,780;0,33;0,48
3,790;0,33;0,50
3,800;0,34;0,52
3,810;0,34;0,54
3,820;0,35;0,56
3,830;0,35;0,57
3,840;0,36;0,58
3,850;0,36;0,58
3,860;0,37;0,60
3,870;0,38;0,63
3,880;0,38;0,62
3,890;0,39;0,59
3,900;0,39;0,52
3,910;0,40;0,47
3,920;0,40;0,45
3,930;0,41;0,46
3,940;0,41;0,46
3,950;0,42;0,43
3,960;0,42;0,40
3,970;0,43;0,37
3,980;0,43;0,33
3,990;0,43;0,29
4,000;0,44;0,25
4,010;0,44;0,22
4,020;0,44;0,20
4,030;0,44;0,19
4,040;0,44;0,15
4,050;0,45;0,08
4,060;0,45;0,00
4,070;0,44;-0,06
4,080;0,44;-0,13
4,090;0,44;-0,19
4,100;0,44;-0,24
4,110;0,44;-0,26
4,120;0,43;-0,27
4,130;0,43;-0,30
4,140;0,43;-0,33
4,150;0,43;-0,36
4,160;0,42;-0,39
4,170;0,42;-0,42
4,180;0,41;-0,45
4,190;0,41;-0,47
4,200;0,40;-0,48
4,210;0,40;-0,50
4,220;0,39;-0,52
4,230;0,39;-0,54
4,240;0,38;-0,55
4,250;0,38;-0,56
4,260;0,37;-0,56
4,270;0,37;-0,56
