"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,01;;
0,010;0,01;0,08;
0,020;0,01;0,07;-1,12
0,030;0,02;0,06;-1,24
0,040;0,02;0,04;-1,21
0,050;0,02;0,03;-1,06
0,060;0,02;0,02;-0,95
0,070;0,02;0,01;-1,03
0,080;0,02;0,00;-1,23
0,090;0,02;-0,01;-1,34
0,100;0,02;-0,03;-1,30
0,110;0,02;-0,04;-1,20
0,120;0,02;-0,05;-1,15
0,130;0,02;-0,06;-1,15
0,140;0,01;-0,07;-1,15
0,150;0,01;-0,08;-1,15
0,160;0,01;-0,10;-1,15
0,170;0,01;-0,11;-1,15
0,180;0,01;-0,12;-1,15
0,190;0,01;-0,13;-1,11
0,200;0,01;-0,14;-0,97
0,210;0,01;-0,15;-0,78
0,220;0,00;-0,16;-0,63
0,230;0,00;-0,16;-0,54
0,240;0,00;-0,17;-0,40
0,250;-3,75E-5;-0,17;-0,20
0,260;0,00;-0,17;-0,05
0,270;0,00;-0,17;-0,04
0,280;-0,01;-0,17;-0,14
0,290;-0,01;-0,17;-0,20
0,300;-0,01;-0,18;-0,11
0,310;-0,01;-0,18;0,09
0,320;-0,01;-0,18;0,15
0,330;-0,01;-0,17;0,09
0,340;-0,02;-0,18;0,17
0,350;-0,02;-0,17;0,46
0,360;-0,02;-0,16;0,68
0,370;-0,02;-0,16;0,50
0,380;-0,02;-0,15;0,20
0,390;-0,02;-0,16;0,12
0,400;-0,03;-0,15;0,40
0,410;-0,03;-0,15;0,83
0,420;-0,03;-0,14;1,19
0,430;-0,03;-0,12;1,31
0,440;-0,03;-0,11;1,11
0,450;-0,03;-0,10;0,90
0,460;-0,03;-0,09;0,98
0,470;-0,03;-0,08;1,33
0,480;-0,03;-0,06;1,51
0,490;-0,03;-0,05;1,15
0,500;-0,04;-0,04;0,40
0,510;-0,04;-0,04;0,05
0,520;-0,04;-0,05;0,63
0,530;-0,04;-0,03;1,20
0,540;-0,04;-0,01;1,12
0,550;-0,04;-0,01;0,83
0,560;-0,04;0,00;1,24
