"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,01;;
0,010;0,01;-0,15;
0,020;0,01;-0,15;-0,68
0,030;0,01;-0,16;-0,79
0,040;0,01;-0,17;-0,94
0,050;0,01;-0,18;-1,10
0,060;0,00;-0,19;-1,08
0,070;0,00;-0,20;-0,79
0,080;-3,67E-4;-0,21;-0,48
0,090;0,00;-0,21;-0,43
0,100;0,00;-0,21;-0,44
0,110;-0,01;-0,22;-0,30
0,120;-0,01;-0,22;-0,20
0,130;-0,01;-0,22;-0,16
0,140;-0,01;-0,23;0,02
0,150;-0,02;-0,22;0,32
0,160;-0,02;-0,22;0,48
0,170;-0,02;-0,21;0,46
0,180;-0,02;-0,21;0,69
0,190;-0,02;-0,20;1,06
0,200;-0,03;-0,18;0,98
0,210;-0,03;-0,17;0,62
0,220;-0,03;-0,18;0,62
0,230;-0,03;-0,17;1,25
0,240;-0,03;-0,15;1,87
0,250;-0,03;-0,13;1,85
0,260;-0,04;-0,11;1,38
0,270;-0,04;-0,10;0,87
0,280;-0,04;-0,10;0,73
0,290;-0,04;-0,09;1,18
0,300;-0,04;-0,08;2,02
0,310;-0,04;-0,05;2,51
0,320;-0,04;-0,02;2,16
0,330;-0,04;-4,31E-4;1,41
0,340;-0,04;0,00;1,03
0,350;-0,04;0,02;1,27
0,360;-0,04;0,03;1,52
0,370;-0,04;0,05;1,57
0,380;-0,04;0,06;1,67
0,390;-0,04;0,08;1,72
0,400;-0,04;0,10;1,69
0,410;-0,04;0,11;1,44
0,420;-0,03;0,13;1,30
0,430;-0,03;0,14;1,22
0,440;-0,03;0,15;0,87
0,450;-0,03;0,16;0,65
0,460;-0,03;0,16;0,84
0,470;-0,03;0,17;1,16
0,480;-0,03;0,19;1,00
0,490;-0,02;0,20;0,41
0,500;-0,02;0,19;0,00
0,510;-0,02;0,19;-0,06
0,520;-0,02;0,19;0,08
0,530;-0,02;0,19;0,29
0,540;-0,01;0,20;0,32
0,550;-0,01;0,21;-0,05
0,560;-0,01;0,20;-0,60
0,570;-0,01;0,19;-0,83
