"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
0,780;0,12;-0,08
0,790;0,12;-0,05
0,800;0,12;-0,02
0,810;0,12;-0,01
0,820;0,12;0,00
0,830;0,12;0,01
0,840;0,12;0,03
0,850;0,12;0,05
0,860;0,12;0,03
0,870;0,12;-6,80E-4
0,880;0,12;0,02
0,890;0,12;0,08
0,900;0,12;0,10
0,910;0,12;0,08
0,920;0,12;0,10
0,930;0,12;0,16
0,940;0,12;0,22
0,950;0,13;0,25
0,960;0,13;0,26
0,970;0,13;0,28
0,980;0,13;0,30
0,990;0,14;0,37
1,000;0,14;0,48
1,010;0,15;0,54
1,020;0,15;0,52
1,030;0,16;0,43
1,040;0,16;0,39
1,050;0,16;0,38
1,060;0,17;0,33
1,070;0,17;0,28
1,080;0,17;0,29
1,090;0,18;0,35
1,100;0,18;0,35
1,110;0,18;0,30
1,120;0,19;0,30
1,130;0,19;0,35
1,140;0,19;0,40
1,150;0,20;0,41
1,160;0,20;0,41
1,170;0,21;0,41
1,180;0,21;0,40
1,190;0,21;0,40
1,200;0,22;0,39
1,210;0,22;0,38
1,220;0,23;0,37
1,230;0,23;0,36
1,240;0,23;0,35
1,250;0,24;0,34
1,260;0,24;0,33
1,270;0,24;0,32
1,280;0,25;0,32
1,290;0,25;0,35
1,300;0,25;0,38
1,310;0,26;0,37
1,320;0,26;0,31
1,330;0,26;0,24
1,340;0,27;0,21
1,350;0,27;0,20
1,360;0,27;0,24
1,370;0,27;0,30
1,380;0,28;0,23
1,390;0,28;0,05
1,400;0,28;-0,10
1,410;0,27;-0,10
1,420;0,27;-0,01
1,430;0,27;0,03
1,440;0,28;0,07
1,450;0,28;0,09
1,460;0,28;0,07
1,470;0,28;0,02
1,480;0,28;-0,04
1,490;0,28;-0,08
1,500;0,28;-0,11
1,510;0,27;-0,13
1,520;0,27;-0,15
1,530;0,27;-0,20
1,540;0,27;-0,25
1,550;0,27;-0,27
1,560;0,26;-0,26
1,570;0,26;-0,23
1,580;0,26;-0,24
1,590;0,26;-0,25
1,600;0,25;-0,27
1,610;0,25;-0,28
1,620;0,25;-0,29
1,630;0,25;-0,31
1,640;0,24;-0,32
1,650;0,24;-0,34
1,660;0,24;-0,34
1,670;0,23;-0,36
1,680;0,23;-0,37
1,690;0,22;-0,38
1,700;0,22;-0,37
1,710;0,22;-0,35
1,720;0,21;-0,35
1,730;0,21;-0,38
1,740;0,21;-0,42
1,750;0,20;-0,43
1,760;0,20;-0,38
1,770;0,19;-0,32
1,780;0,19;-0,30
1,790;0,19;-0,34
1,800;0,18;-0,39
1,810;0,18;-0,39
1,820;0,18;-0,39
1,830;0,17;-0,33
1,840;0,17;-0,27
1,850;0,17;-0,26
1,860;0,17;-0,30
1,870;0,16;-0,35
1,880;0,16;-0,34
1,890;0,15;-0,33
1,900;0,15;-0,32
1,910;0,15;-0,32
1,920;0,15;-0,33
1,930;0,14;-0,36
1,940;0,14;-0,38
1,950;0,13;-0,39
1,960;0,13;-0,37
1,970;0,13;-0,31
1,980;0,12;-0,20
1,990;0,12;-0,09
2,000;0,12;-0,06
2,010;0,12;-0,08
2,020;0,12;-0,06
2,030;0,12;-0,02
2,040;0,12;0,00
2,050;0,12;-0,03
2,060;0,12;-0,05
2,070;0,12;-0,02
2,080;0,12;0,00
2,090;0,12;0,01
2,100;0,12;0,03
2,110;0,12;0,05
2,120;0,12;0,06
2,130;0,12;0,03
2,140;0,12;0,01
2,150;0,12;0,02
2,160;0,12;0,08
2,170;0,12;0,10
2,180;0,12;0,12
2,190;0,12;0,19
2,200;0,13;0,25
2,210;0,13;0,27
2,220;0,13;0,26
2,230;0,13;0,31
2,240;0,14;0,37
2,250;0,14;0,38
2,260;0,15;0,35
2,270;0,15;0,32
2,280;0,15;0,33
2,290;0,16;0,33
2,300;0,16;0,34
2,310;0,16;0,29
2,320;0,17;0,25
2,330;0,17;0,26
2,340;0,17;0,32
2,350;0,17;0,38
2,360;0,18;0,38
2,370;0,18;0,38
2,380;0,19;0,39
2,390;0,19;0,34
2,400;0,19;0,29
2,410;0,19;0,29
2,420;0,20;0,34
2,430;0,20;0,39
2,440;0,21;0,39
