"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;-0,02;;
0,010;-0,02;-0,05;
0,020;-0,02;-0,04;1,29
0,030;-0,02;-0,03;1,51
0,040;-0,02;-0,01;1,30
0,050;-0,02;0,01;0,58
0,060;-0,02;0,00;-0,14
0,070;-0,02;-0,01;-0,27
0,080;-0,02;-0,01;0,08
0,090;-0,02;-2,36E-4;0,32
0,100;-0,02;0,00;0,46
0,110;-0,02;0,00;0,70
0,120;-0,02;0,02;0,96
0,130;-0,02;0,03;0,97
0,140;-0,02;0,04;0,74
0,150;-0,02;0,04;0,41
0,160;-0,02;0,05;0,02
0,170;-0,01;0,04;-0,28
0,180;-0,01;0,04;-0,35
0,190;-0,01;0,03;-0,21
0,200;-0,01;0,03;0,02
0,210;-0,01;0,03;0,31
0,220;-0,01;0,04;0,57
0,230;-0,01;0,05;0,60
0,240;-0,01;0,05;0,27
0,250;-0,01;0,05;-0,17
0,260;-0,01;0,05;-0,46
0,270;-0,01;0,04;-0,66
0,280;-0,01;0,04;-0,81
0,290;-0,01;0,03;-0,84
0,300;-0,01;0,02;-0,56
0,310;-0,01;0,01;-0,12
0,320;-0,01;0,02;0,14
0,330;-0,01;0,02;0,20
0,340;-0,01;0,02;0,12
0,350;-0,01;0,02;-0,11
0,360;-0,01;0,02;-0,50
0,370;-0,01;0,01;-0,85
0,380;-0,01;7,26E-4;-0,96
0,390;-0,01;-0,01;-0,92
0,400;-0,01;-0,02;-0,75
0,410;-0,01;-0,03;-0,37
0,420;-0,01;-0,03;0,13
0,430;-0,01;-0,02;0,36
0,440;-0,01;-0,01;0,08
0,450;-0,01;-0,02;-0,32
0,460;-0,01;-0,03;-0,48
0,470;-0,01;-0,03;-0,43
0,480;-0,01;-0,03;-0,47
0,490;-0,01;-0,04;-0,63
0,500;-0,01;-0,05;-0,59
0,510;-0,01;-0,05;-0,35
0,520;-0,01;-0,05;-0,11
0,530;-0,01;-0,05;0,07
0,540;-0,01;-0,05;0,35
0,550;-0,01;-0,05;0,72
0,560;-0,01;-0,04;0,76
0,570;-0,01;-0,03;0,29
0,580;-0,01;-0,03;-0,31
0,590;-0,01;-0,04;-0,63
0,600;-0,02;-0,04;-0,60
0,610;-0,02;-0,05;-0,25
0,620;-0,02;-0,05;0,51
0,630;-0,02;-0,04;1,38
0,640;-0,02;-0,02;1,54
0,650;-0,02;2,34E-4;0,86
0,660;-0,02;0,00;0,24
0,670;-0,02;-0,01;0,23
0,680;-0,02;0,00;0,36
0,690;-0,02;0,01;0,07
0,700;-0,02;0,00;-0,21
0,710;-0,02;0,00;-0,04
0,720;-0,02;0,00;0,40
0,730;-0,02;0,01;0,79
0,740;-0,02;0,02;1,05
0,750;-0,02;0,03;1,08
0,760;-0,02;0,04;0,70
0,770;-0,02;0,05;0,25
0,780;-0,02;0,04;0,10
0,790;-0,01;0,05;0,02
0,800;-0,01;0,05;-0,18
0,810;-0,01;0,04;-0,35
0,820;-0,01;0,04;-0,18
0,830;-0,01;0,04;0,27
0,840;-0,01;0,04;0,48
0,850;-0,01;0,05;0,45
0,860;-0,01;0,05;0,25
0,870;-0,01;0,05;0,06
0,880;-0,01;0,05;-0,12
0,890;-0,01;0,05;-0,45
0,900;-0,01;0,05;-0,84
0,910;-0,01;0,04;-1,11
0,920;-0,01;0,02;-1,00
0,930;-0,01;0,01;-0,48
0,940;-0,01;0,01;0,12
0,950;-0,01;0,02;0,39
0,960;-0,01;0,02;0,27
0,970;-0,01;0,02;-0,11
0,980;-0,01;0,02;-0,51
0,990;-0,01;0,01;-0,71
1,000;-0,01;0,00;-0,76
1,010;-0,01;0,00;-0,80
1,020;-0,01;-0,01;-0,96
1,030;-0,01;-0,02;-0,91
1,040;-0,01;-0,03;-0,35
1,050;-0,01;-0,03;0,41
1,060;-0,01;-0,02;0,72
1,070;-0,01;-0,01;0,16
1,080;-0,01;-0,01;-0,68
1,090;-0,01;-0,03;-1,12
1,100;-0,01;-0,04;-0,86
1,110;-0,01;-0,05;-0,30
1,120;-0,01;-0,05;-0,09
1,130;-0,01;-0,05;-0,19
1,140;-0,01;-0,05;-0,26
1,150;-0,01;-0,05;-0,02
1,160;-0,01;-0,05;0,24
1,170;-0,01;-0,05;0,25
1,180;-0,01;-0,05;0,14
1,190;-0,01;-0,05;0,18
1,200;-0,01;-0,04;0,30
1,210;-0,01;-0,04;0,17
1,220;-0,02;-0,04;-0,14
1,230;-0,02;-0,04;-0,26
1,240;-0,02;-0,05;-0,04
1,250;-0,02;-0,04;0,43
1,260;-0,02;-0,04;0,98
1,270;-0,02;-0,02;1,31
1,280;-0,02;-0,01;1,10
1,290;-0,02;0,00;0,46
1,300;-0,02;2,34E-4;0,05
1,310;-0,02;0,00;0,05
1,320;-0,02;0,00;0,05
1,330;-0,02;0,00;-0,02
1,340;-0,02;0,00;0,20
1,350;-0,02;0,00;0,74
1,360;-0,02;0,02;1,11
1,370;-0,02;0,03;0,98
1,380;-0,02;0,04;0,68
1,390;-0,02;0,04;0,49
1,400;-0,02;0,05;0,31
1,410;-0,02;0,05;0,07
1,420;-0,02;0,05;-0,23
1,430;-0,01;0,04;-0,35
1,440;-0,01;0,04;-0,16
1,450;-0,01;0,04;0,08
1,460;-0,01;0,04;0,32
1,470;-0,01;0,04;0,47
1,480;-0,01;0,05;0,53
1,490;-0,01;0,06;0,47
1,500;-0,01;0,06;-0,04
1,510;-0,01;0,06;-0,68
1,520;-0,01;0,04;-1,10
1,530;-0,01;0,03;-1,08
1,540;-0,01;0,02;-0,70
1,550;-0,01;0,02;-0,32
1,560;-0,01;0,02;0,08
1,570;-0,01;0,02;0,34
1,580;-0,01;0,03;0,31
1,590;-0,01;0,03;0,08
1,600;-0,01;0,03;-0,30
1,610;-0,01;0,02;-0,74
1,620;-0,01;0,01;-1,01
1,630;-0,01;0,00;-0,97
1,640;-0,01;-0,01;-0,77
1,650;-0,01;-0,01;-0,73
1,660;-0,01;-0,02;-0,62
1,670;-0,01;-0,03;-0,10
